uid,orig_commodity,orig_first_period,orig_last_period,orig_status,n_steps_in_chain,journey,family_id,latest_commodity,final_status
IMR_0382,"3004.90.99.71 - Cough/cold preparations, for human use, in dosage (Terminated 1997-12)",1990-01-01,1997-12-01,ended_1997-12,2,3004.90.99.71 -> 3004.90.00.73,IM_0190,"3004.90.00.73 - Cough/cold preparations, for human use, in doses/packings frs,o/t No 30.02/05/06",active
IMR_0383,"3004.90.99.79 - Medicaments, prim affecting eyes,ears & respiratory system,human use, in dos,nes (Terminated 1997-12)",1990-01-01,1997-12-01,ended_1997-12,2,3004.90.99.79 -> 3004.90.00.74,IM_0191,"3004.90.00.74 - Medi,prim f eyes/ears/respiratory system,human use,doses/frs,o/t No 30.02/05/06",active
IMR_0384,"3004.90.99.81 - Diuretics, for human use, in dosage (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3004.90.99.81 -> 3004.90.00.75,IM_0192,"3004.90.00.75 - Diuretics, for human use, in doses/packings for retail sale, o/t No 30.02/05/06",active
IMR_0385,"3004.90.99.82 - Medicaments affecting electrolytic, caloric/water balance, for human use, in dos (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3004.90.99.82 -> 3004.90.00.76,IM_0193,"3004.90.00.76 - Medi,f electrolytic/caloric/water balance,human use,doses/frs,o/t No 30.02/05/06",active
IMR_0386,"3004.90.99.83 - Dermatological agents, for human use, in dosage (Terminated 1997-12)",1990-01-01,1997-12-01,ended_1997-12,2,3004.90.99.83 -> 3004.90.00.77,IM_0194,"3004.90.00.77 - Dermatological agents, for human use, in doses/packings frs, o/t No 30.02/05/06",active
IMR_0387,"3004.90.99.84 - Medicaments cont hyaluronic acid or its sodium salt, for human use, in dosage (Terminated 1997-12)",1990-01-01,1997-12-01,ended_1997-12,2,3004.90.99.84 -> 3004.90.00.78,IM_0195,"3004.90.00.78 - Medi,cont hyaluronic acid/its sodium salt,human use,doses/frs,o/t No 30.02/05/06",active
IMR_0388,"3004.90.99.89 - Medicaments nes, for human use, in dosage (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3004.90.99.89 -> 3004.90.00.79,IM_0172,"3004.90.00.79 - Medicaments,for human use,in doses/packings f retail sale,o/t No 30.02/05/06,nes",active
IMR_0389,"3004.90.99.91 - Anaesthetic, for veterinary use, in dosage (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,3,3004.90.99.91 -> 3004.90.00.81 -> 3004.90.00.90,IM_0197,"3004.90.00.90 - Medicaments,f veterinary use,doses/packings f retail sale,o/t No 30.02/05/06,nes",active
IMR_0390,"3004.90.99.92 - Coccidiostats, in dosage (Terminated 1991-06)",1988-01-01,1991-06-01,ended_1991-06,2,3004.90.99.92 -> 3004.90.00.90,IM_0197,"3004.90.00.90 - Medicaments,f veterinary use,doses/packings f retail sale,o/t No 30.02/05/06,nes",active
IMR_0391,"3004.90.99.93 - Tranquilizers, for veterinary use, in dosage (Terminated 1991-06)",1988-03-01,1991-06-01,ended_1991-06,2,3004.90.99.93 -> 3004.90.00.90,IM_0197,"3004.90.00.90 - Medicaments,f veterinary use,doses/packings f retail sale,o/t No 30.02/05/06,nes",active
IMR_0392,"3004.90.99.99 - Medicaments nes, for veterinary use, in dosage (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,3,3004.90.99.99 -> 3004.90.00.89 -> 3004.90.00.90,IM_0197,"3004.90.00.90 - Medicaments,f veterinary use,doses/packings f retail sale,o/t No 30.02/05/06,nes",active
IMR_0393,"3005.10.00.10 - Dressings & sim articles having an adhesive layer, coated/impreg w pharm subs",1998-01-01,2025-12-01,active,1,3005.10.00.10,IM_0201,"3005.10.00.10 - Dressings & sim articles having an adhesive layer, coated/impreg w pharm subs",active
IMR_0394,"3005.10.00.91 - Adhesive dressings, nes, packaged for retail sale",1998-01-01,2025-12-01,active,1,3005.10.00.91,IM_0202,"3005.10.00.91 - Adhesive dressings, nes, packaged for retail sale",active
IMR_0395,"3005.10.00.99 - Wadding, gauze, bandages & sim articles, nes, with adhesive layer, pack ret sale",1998-01-01,2025-12-01,active,1,3005.10.00.99,IM_0203,"3005.10.00.99 - Wadding, gauze, bandages & sim articles, nes, with adhesive layer, pack ret sale",active
IMR_0396,"3005.10.10.00 - Dressings & sim articles having an adhesive layer, coated/impreg w pharm subs (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.10.10.00 -> 3005.10.00.10,IM_0201,"3005.10.00.10 - Dressings & sim articles having an adhesive layer, coated/impreg w pharm subs",active
IMR_0397,"3005.10.91.00 - Adhesive dressings, nes, packaged for retail sale (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.10.91.00 -> 3005.10.00.91,IM_0202,"3005.10.00.91 - Adhesive dressings, nes, packaged for retail sale",active
IMR_0398,"3005.10.99.00 - Wadding, gauze, bandages & sim articles, nes, with adhesive layer, pack ret sale (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.10.99.00 -> 3005.10.00.99,IM_0203,"3005.10.00.99 - Wadding, gauze, bandages & sim articles, nes, with adhesive layer, pack ret sale",active
IMR_0399,3005.90.00.10 - Bandages & slabs of tex fab coated w plaster;o art used for orthopaedic casts (Terminated 2011-12),1998-01-01,2001-12-01,ended_2001-12,1,3005.90.00.10,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0400,"3005.90.00.10 - Bandages & slabs of tex fab, coated w plaster;o art used for orthopaedic casts (Terminated 2011-12)",2002-01-01,2011-12-01,ended_2011-12,1,3005.90.00.10,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0401,"3005.90.00.20 - Dressings & sim articles coated or impreg w pharm substances, nes",1998-01-01,2001-12-01,ended_2001-12,1,3005.90.00.20,IM_0205,"3005.90.00.20 - Dressings & sim articles, coated or impreg w pharm substances, nes",active
IMR_0402,"3005.90.00.20 - Dressings & sim articles, coated or impreg w pharm substances, nes",2002-01-01,2025-12-01,active,1,3005.90.00.20,IM_0205,"3005.90.00.20 - Dressings & sim articles, coated or impreg w pharm substances, nes",active
IMR_0403,"3005.90.00.30 - Surgical dressings, not stitched or o/w mfd, not coated/impreg w pharm subs, nes",1998-01-01,2025-12-01,active,1,3005.90.00.30,IM_0206,"3005.90.00.30 - Surgical dressings, not stitched or o/w mfd, not coated/impreg w pharm subs, nes",active
IMR_0404,"3005.90.00.40 - Dressings & sim art of woven fab,o/t of cotton; of knit fab,n-wov or felts,nes",2002-01-01,2025-12-01,active,1,3005.90.00.40,IM_0207,"3005.90.00.40 - Dressings & sim art of woven fab,o/t of cotton; of knit fab,n-wov or felts,nes",active
IMR_0405,"3005.90.00.40 - Dressings/sim art of woven fab o/t of cotton; of knit fab, n-wov or felts, nes",1998-01-01,2001-12-01,ended_2001-12,1,3005.90.00.40,IM_0207,"3005.90.00.40 - Dressings & sim art of woven fab,o/t of cotton; of knit fab,n-wov or felts,nes",active
IMR_0406,"3005.90.00.50 - Dressings and sim articles of woven fabric solely of cotton, nes (Terminated 2011-12)",1998-01-01,2001-12-01,ended_2001-12,1,3005.90.00.50,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0407,"3005.90.00.50 - Dressings and sim articles, of woven fabric solely of cotton, nes (Terminated 2011-12)",2002-01-01,2011-12-01,ended_2011-12,1,3005.90.00.50,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0408,"3005.90.00.60 - Dressings and similar articles of paper, nes (Terminated 2011-12)",1998-01-01,2001-12-01,ended_2001-12,1,3005.90.00.60,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0409,"3005.90.00.60 - Dressings and similar articles, of paper, nes (Terminated 2011-12)",2002-01-01,2011-12-01,ended_2011-12,1,3005.90.00.60,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0410,"3005.90.00.90 - Dressings and similar articles packaged for medical use, nes",1998-01-01,2001-12-01,ended_2001-12,1,3005.90.00.90,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0411,"3005.90.00.90 - Dressings and similar articles, packaged for medical use, nes",2002-01-01,2011-12-01,ended_2011-12,1,3005.90.00.90,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0412,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",2012-01-01,2025-12-01,active,1,3005.90.00.90,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0413,3005.90.10.00 - Bandages & slabs of tex fab coated w plaster;o art used for orthopaedic casts (Terminated 1997-12),1988-01-01,1997-12-01,ended_1997-12,2,3005.90.10.00 -> 3005.90.00.10,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0414,"3005.90.20.00 - Dressings & sim articles coated or impreg w pharm substances, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.90.20.00 -> 3005.90.00.20,IM_0205,"3005.90.00.20 - Dressings & sim articles, coated or impreg w pharm substances, nes",active
IMR_0415,"3005.90.30.00 - Surgical dressings, not stitched or o/w mfd, not coated/impreg w pharm subs, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.90.30.00 -> 3005.90.00.30,IM_0206,"3005.90.00.30 - Surgical dressings, not stitched or o/w mfd, not coated/impreg w pharm subs, nes",active
IMR_0416,"3005.90.91.00 - Dressings/sim art of woven fab o/t of cotton; of knit fab, n-wov or felts, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.90.91.00 -> 3005.90.00.40,IM_0207,"3005.90.00.40 - Dressings & sim art of woven fab,o/t of cotton; of knit fab,n-wov or felts,nes",active
IMR_0417,"3005.90.92.00 - Dressings and sim articles of woven fabric solely of cotton, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.90.92.00 -> 3005.90.00.50,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
IMR_0418,"3005.90.93.00 - Dressings and similar articles of paper, nes (Terminated 1997-12)",1988-01-01,1997-12-01,ended_1997-12,2,3005.90.93.00 -> 3005.90.00.60,IM_0204,"3005.90.00.90 - Wadding,gauze,bandages & sim art, packaged for retail sale & for medical use,nes",active
