retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,rank,candidate,candidate_description,similarity_score,vetoed_by,record_overruled_gate,review_flag,same_content_words
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",5,3002100041,"Bovine albumin, for parenteral administration in humans",0.4959,,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",6,3002100042,"Sera and antisera, of animal origin, for parenteral administration in humans",0.4255,,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",7,3002100051,"Blood fractions, nes, for use in humans",0.4231,,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",8,3002100049,"Blood albumin nes, of animal origin, for parenteral administration in humans",0.4113,,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",9,3002100030,"Antisera & o blood fractions, of human origin, for other uses",0.3871,,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",10,3002100010,"Antisera & o blood fractions, human origin, for diagnostic use",0.3840,purpose,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",11,3002100060,Modified immunological products,0.3265,continuity,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",12,3002100090,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",0.2603,continuity,,,no
3002101023,1,imports,199712,24552889.00,"Immune serum globulin, for therapeutic or prophylactic use in humans",13,3002100059,"Blood fractions, nes",0.2558,,,,no
3002101029,1,imports,199712,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",1,3002100029,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",1.0000,,,,yes
3002101029,1,imports,199712,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",2,3002100021,"Blood plasma, for therapeutic or prophylactic use in humans",0.7612,,,,no
3002101029,1,imports,199712,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",3,3002100022,"Normal serum globulin, for therapeutic or prophylactic use in humans",0.6993,,,,no
3002101029,1,imports,199712,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",4,3002100023,"Immune serum globulin, for therapeutic or prophylactic use in humans",0.6993,,,,no
3002101029,1,imports,199712,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",5,3002100010,"Antisera & o blood fractions, human origin, for diagnostic use",0.6567,purpose,,swapped term,no
3002101029,1,imports,199712,377806210.00,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",6,3002100030,"Antisera & o blood fractions, of human origin, for other uses",0.6466,,,,no
