hs_code,description,heading,subheading,first_period,last_period,months_with_trade,longest_quiet_months,source_rows,total_value_cad,stated_termination,stated_introduction,stated_termination_matches_data,stated_termination_is_this_life
30041010,"Penicillins or streptomycins and their derivatives,in dosage,for human use",3004,300410,198801,198812,12,0,170,3401123,198812,,yes,yes
30041020,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",3004,300410,198801,198812,10,1,20,992811,198812,,yes,yes
30042000,"Antibiotics nes, in dosage",3004,300420,198901,200112,156,0,2275,393606946,,,,
30042000,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",3004,300420,200201,202606,294,0,9776,17228758909,,,,
30042010,"Antibiotics nes, in dosage, for human use",3004,300420,198801,198812,12,0,183,7651667,198812,,yes,yes
30042020,"Antibiotics nes, in dosage, for veterinary use",3004,300420,198801,198812,12,0,48,718992,198812,,yes,yes
30043100,"Insulin, in dosage",3004,300431,198803,199909,53,12,65,1752462,,,,
30043100,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",3004,300431,200207,202606,251,9,580,217431074,,,,
30043200,"Adrenal cortical hormones, not containing antibiotics, in dosage",3004,300432,198901,200112,156,0,1172,398967731,,,,
30043200,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",3004,300432,200201,202606,294,0,3317,4416759120,,,,
30043210,"Adrenal cortical hormones, in dosage, for human use",3004,300432,198801,198812,12,0,106,3924008,198812,,yes,yes
30043220,"Adrenal cortical hormones, in dosage, for veterinary use",3004,300432,198802,198811,4,3,6,47163,198812,,no,yes
30043900,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",3004,300439,198901,200112,156,0,3025,633301759,,,,
30043900,"Medi,cont horm/prostaglandins/thromboxanes/leukotrienes/deriv/analogues,nes,frs",3004,300439,200201,202606,294,0,9637,17458512244,,,,
30043910,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",3004,300439,198801,198812,12,0,196,6819167,198812,,yes,yes
30043920,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",3004,300439,198801,198812,9,2,16,304529,198812,,yes,yes
30044000,"Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage",3004,300440,198801,201612,348,0,2865,1560656123,201612,,yes,yes
