span_id,flow,hs_code,description,first_period,last_period,value_cad,codes_in_journey,succession_hops,rewordings_passed,journey,terminal_code,terminal_description,terminal_first_period,terminal_last_period,terminal_status
imports:3002.10.00.60:2003-02,imports,3002.10.00.60,Modified immunological products,200302,201112,1580200084,4,3,0,3002.10.00.60 -> 3002.10.00.90 -> 3002.19.00.00 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.10.00.90:2012-01,imports,3002.10.00.90,"Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes",201201,201612,7588057599,3,2,0,3002.10.00.90 -> 3002.19.00.00 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.10.10.10:1988-01,imports,3002.10.10.10,"Antisera & o blood fractions, human origin, for diagnostic use",198801,199712,101722161,3,2,0,3002.10.10.10 -> 3002.10.00.10 -> 3002.12.00.11,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,active
imports:3002.10.10.21:1988-01,imports,3002.10.10.21,"Blood plasma, for therapeutic or prophylactic use in humans",198801,199712,80754016,3,2,0,3002.10.10.21 -> 3002.10.00.21 -> 3002.12.00.12,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,active
imports:3002.10.10.22:1988-01,imports,3002.10.10.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",198801,199712,19609749,3,2,0,3002.10.10.22 -> 3002.10.00.22 -> 3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.10.10.23:1990-01,imports,3002.10.10.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",199001,199712,24552889,3,2,0,3002.10.10.23 -> 3002.10.00.23 -> 3002.12.00.13,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,active
imports:3002.10.10.29:1988-01,imports,3002.10.10.29,"Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes",198801,199712,377806210,3,2,0,3002.10.10.29 -> 3002.10.00.29 -> 3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.10.10.90:1988-01,imports,3002.10.10.90,"Antisera & o blood fractions, of human origin, for other uses",198801,199712,70111731,3,2,1,3002.10.10.90 -> 3002.10.00.30 -> 3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.10.21.10:1988-01,imports,3002.10.21.10,"Bovine albumin, for parenteral administration in humans",198801,199712,27900542,3,2,0,3002.10.21.10 -> 3002.10.00.41 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.21.20:1988-01,imports,3002.10.21.20,"Sera and antisera, of animal origin, for parenteral administration in humans",198801,199712,34907173,3,2,0,3002.10.21.20 -> 3002.10.00.42 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.21.90:1988-01,imports,3002.10.21.90,"Blood albumin nes, of animal origin, for parenteral administration in humans",198801,199712,40116460,3,2,1,3002.10.21.90 -> 3002.10.00.49 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.29.10:1988-01,imports,3002.10.29.10,"Blood fractions, nes, for use in humans",198801,199712,955745,3,2,0,3002.10.29.10 -> 3002.10.00.51 -> 3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.10.29.20:1988-01,imports,3002.10.29.20,"Blood fractions, nes, for use in animals",198801,199104,77143,4,3,0,3002.10.29.20 -> 3002.10.29.90 -> 3002.10.00.59 -> 3002.12.00.29,3002.12.00.29,"Animal antisera and other animal blood fractions, nes",201701,202606,active
imports:3002.10.29.90:1988-01,imports,3002.10.29.90,"Blood fractions, nes",198801,199712,26422139,3,2,0,3002.10.29.90 -> 3002.10.00.59 -> 3002.12.00.29,3002.12.00.29,"Animal antisera and other animal blood fractions, nes",201701,202606,active
imports:3002.11.00.00:2017-01,imports,3002.11.00.00,Malaria diagnostic test kits,201701,202112,3361952,1,0,0,3002.11.00.00,3002.11.00.00,Malaria diagnostic test kits,201701,202112,left_chapter
imports:3002.12.00.11:2017-01,imports,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,1226814955,1,0,0,3002.12.00.11,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",201701,202606,active
imports:3002.12.00.12:2017-01,imports,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,1752188520,1,0,0,3002.12.00.12,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",201701,202606,active
imports:3002.12.00.13:2017-01,imports,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,1657163965,1,0,0,3002.12.00.13,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",201701,202606,active
imports:3002.12.00.19:2017-01,imports,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,3949707054,1,0,0,3002.12.00.19,3002.12.00.19,"Human antisera and other human blood fractions, nes",201701,202606,active
imports:3002.12.00.21:2017-01,imports,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,355082442,1,0,0,3002.12.00.21,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",201701,202606,active
imports:3002.12.00.29:2017-01,imports,3002.12.00.29,"Animal antisera and other animal blood fractions, nes",201701,202606,801307060,1,0,0,3002.12.00.29,3002.12.00.29,"Animal antisera and other animal blood fractions, nes",201701,202606,active
imports:3002.13.00.00:2017-01,imports,3002.13.00.00,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",201701,202606,99000269,1,0,0,3002.13.00.00,3002.13.00.00,"Immunological products, unmixed, not put up in measured doses/forms/packings frs",201701,202606,active
imports:3002.14.00.00:2017-01,imports,3002.14.00.00,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",201701,202606,111309709,1,0,0,3002.14.00.00,3002.14.00.00,"Immunological products,mixed,not put in measured doses/forms/packings f ret sale",201701,202606,active
imports:3002.15.00.00:2017-01,imports,3002.15.00.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",201701,202606,43788994485,1,0,0,3002.15.00.00,3002.15.00.00,"Immunological products, put up in measured doses/forms/packings, for retail sale",201701,202606,active
imports:3002.19.00.00:2017-01,imports,3002.19.00.00,"Immunological products, nes, w/n modified/obtained by biotechnological processes",201701,202112,1629159701,2,1,0,3002.19.00.00 -> 3002.90.00.90,3002.90.00.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,active
imports:3002.20.00.10:1988-02,imports,3002.20.00.10,"Vaccines against influenza virus, for human use",198802,202112,902421504,2,1,0,3002.20.00.10 -> 3002.41.00.10,3002.41.00.10,"Vaccines, for against influenza virus, human medicine",202201,202606,active
imports:3002.20.00.20:1988-01,imports,3002.20.00.20,"Vaccines against rubella (german measles), for human use",198801,201112,5568753,3,2,0,3002.20.00.20 -> 3002.20.00.90 -> 3002.41.00.90,3002.41.00.90,"Vaccines, o/t for against influenza virus, human medicine, nes",202201,202606,active
imports:3002.20.00.30:1988-01,imports,3002.20.00.30,"Vaccines against rabies, for human use",198801,201111,9012275,3,2,0,3002.20.00.30 -> 3002.20.00.90 -> 3002.41.00.90,3002.41.00.90,"Vaccines, o/t for against influenza virus, human medicine, nes",202201,202606,active
imports:3002.20.00.90:1988-01,imports,3002.20.00.90,"Vaccines, nes, for human medicine",198801,202112,11076237268,2,1,0,3002.20.00.90 -> 3002.41.00.90,3002.41.00.90,"Vaccines, o/t for against influenza virus, human medicine, nes",202201,202606,active
imports:3002.30.00.10:1998-01,imports,3002.30.00.10,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,199801,202112,803346426,2,1,0,3002.30.00.10 -> 3002.42.00.10,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,202201,202606,active
imports:3002.30.00.90:1998-01,imports,3002.30.00.90,"Vaccines, veterinary use, nes",199801,202112,925135646,2,1,0,3002.30.00.90 -> 3002.42.00.90,3002.42.00.90,"Vaccines, veterinary use, nes",202201,202606,active
imports:3002.30.10.00:1996-01,imports,3002.30.10.00,Vacc agnst foot and mth disse; vacc prepr for parentl admin; bovi intrnsl vacc,199601,199712,33376350,3,2,0,3002.30.10.00 -> 3002.30.00.10 -> 3002.42.00.10,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,202201,202606,active
imports:3002.30.90.00:1996-01,imports,3002.30.90.00,"Vaccines, veterinary use, nes",199601,199712,29624986,3,2,0,3002.30.90.00 -> 3002.30.00.90 -> 3002.42.00.90,3002.42.00.90,"Vaccines, veterinary use, nes",202201,202606,active
imports:3002.31.00.00:1988-01,imports,3002.31.00.00,"Vaccines against foot or mouth disease, veterinary use",198801,199507,671805,4,3,0,3002.31.00.00 -> 3002.30.90.00 -> 3002.30.00.90 -> 3002.42.00.90,3002.42.00.90,"Vaccines, veterinary use, nes",202201,202606,active
imports:3002.39.10.00:1988-01,imports,3002.39.10.00,"Vaccines nes, prepared for parenteral admin in animal; bovine intranasal vaccine",198801,199512,74686051,4,3,0,3002.39.10.00 -> 3002.30.10.00 -> 3002.30.00.10 -> 3002.42.00.10,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,202201,202606,active
imports:3002.39.90.00:1988-01,imports,3002.39.90.00,"Vaccines, veterinary use, nes",198801,199512,71013102,4,3,0,3002.39.90.00 -> 3002.30.90.00 -> 3002.30.00.90 -> 3002.42.00.90,3002.42.00.90,"Vaccines, veterinary use, nes",202201,202606,active
imports:3002.41.00.10:2022-01,imports,3002.41.00.10,"Vaccines, for against influenza virus, human medicine",202201,202606,492721832,1,0,0,3002.41.00.10,3002.41.00.10,"Vaccines, for against influenza virus, human medicine",202201,202606,active
imports:3002.41.00.90:2022-01,imports,3002.41.00.90,"Vaccines, o/t for against influenza virus, human medicine, nes",202201,202606,7994253527,1,0,0,3002.41.00.90,3002.41.00.90,"Vaccines, o/t for against influenza virus, human medicine, nes",202201,202606,active
imports:3002.42.00.10:2022-01,imports,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,202201,202606,185622920,1,0,0,3002.42.00.10,3002.42.00.10,Vaccines agnst foot and mth disse;vacc prepr for parentl admin;bovi intrnsl vacc,202201,202606,active
imports:3002.42.00.90:2022-01,imports,3002.42.00.90,"Vaccines, veterinary use, nes",202201,202606,427200979,1,0,0,3002.42.00.90,3002.42.00.90,"Vaccines, veterinary use, nes",202201,202606,active
