retiring_code,span_index,flow,last_period,total_value_cad,retiring_description,rank,candidate,candidate_description,similarity_score,vetoed_by,record_overruled_gate,review_flag,same_content_words
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",2,30023000,"Vaccines, for veterinary medecine",0.5882,continuity,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",3,30024200,"Vaccines, for veterinary medecine",0.5882,continuity,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",4,30023090,"Vaccines, veterinary use, nes",0.5750,,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",5,30024100,"Vaccines, for human medicine",0.5000,continuity;use,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",6,30022000,"Vaccines, human use",0.4225,use,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",7,30024900,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",0.4031,continuity,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",8,30029000,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",0.3281,,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",9,30029090,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep, nes",0.3281,,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",10,30025900,"Cell cultures, whether or not modified, nes",0.3191,continuity,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",11,30021500,"Immunological products, put up in measured doses/forms/packings, for retail sale",0.2901,continuity,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",12,30025100,"Cell therapy products, whether or not modified",0.2857,continuity,,,no
30023100,1,exports,199512,962870.00,"Vaccines against foot or mouth disease, veterinary use",13,30021100,Malaria diagnostic test kits,0.2716,continuity,,,no
