too_recent_to_call,retirement_basis,months_before_delivery_end,retiring_code,span_index,span_count,span_first_period,flow,heading,subheading,last_period,boundary,total_value_cad,description,subheading_survives,at_hs_revision_boundary,wco_table,cbsa_concordance_covers,tariff_schedule_covers,narrowest_tier,narrowest_count,n_same_subheading,n_same_heading,n_same_chapter,n_any_alive,n_continuous,n_alive_after_ignoring_continuity,candidates_continuous,n_born_at_boundary,n_carve_out,candidates_narrowest,candidates_outside_narrowest,candidates_born_at_boundary,candidates_carve_out
no,declared,114,30044000,1,1,198801,exports,3004,300440,201612,201701,1560656123.00,"Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage",no,yes,2012->2017,yes,yes,same_heading,14,0,14,52,52,45,52,30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049090,9,0,30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090,30012000;30019000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30031000;30032000;30033100;30033900;30034100;30034200;30034900;30036000;30039000;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30021200;30021400;30021500;30021900;30023000;30044100;30044200;30044900;30046000,
yes,trade_ceased_only,1,30044100,1,1,201701,exports,3004,300441,202605,202606,104471710.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",no,no,,no,yes,same_heading,11,0,11,38,38,38,38,30041000;30042000;30043100;30043200;30043900;30044200;30044900;30045000;30046000;30049010;30049090,0,0,30041000;30042000;30043100;30043200;30043900;30044200;30044900;30045000;30046000;30049010;30049090,30019000;30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30032000;30033900;30034900;30039000;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,trade_ceased_only,51,30044300,1,1,201703,exports,3004,300443,202203,202204,497680.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",no,no,,no,yes,same_heading,12,0,12,44,44,44,44,30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044900;30045000;30046000;30049010;30049090,0,0,30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044900;30045000;30046000;30049010;30049090,30012000;30019000;30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,declared,450,30045010,1,1,198801,exports,3004,300450,198812,198901,5171012.00,"Vitamins and their derivatives,in dosage for human use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30045000,7,0,30045000,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,450,30045020,1,1,198801,exports,3004,300450,198812,198901,1105557.00,"Vitamins and their derivatives,in dosage for veterinary use",yes,no,,no,no,same_subheading,1,1,15,63,63,30,63,30045000,7,0,30045000,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,102,30049000,1,1,198901,exports,3004,300490,201712,201801,67033315697.00,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",yes,no,,no,yes,same_subheading,2,2,13,51,51,45,51,30049010;30049090,1,0,30049010;30049090,30012000;30019000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30031000;30032000;30033100;30033900;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30049090,
no,code_reused,450,30049010,1,2,198801,exports,3004,300490,198812,198901,52047406.00,"Medicaments nes, in dosage, for human use",yes,no,,no,no,same_subheading,2,2,14,62,62,30,62,30049000,7,0,30049000;30049090,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,450,30049020,1,1,198801,exports,3004,300490,198812,198901,5163106.00,"Medicaments nes, in dosage, for veterinary use",yes,no,,no,no,same_subheading,3,3,15,63,63,30,63,30049000,7,0,30049000;30049010;30049090,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,54,30062000,1,1,198801,exports,3006,300620,202112,202201,72350467.00,Blood-grouping reagents,no,yes,2017->2022,no,yes,same_heading,9,0,9,45,45,45,45,30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,4,0,30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30012000;30019000;30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049010;30049090;30051000;30059000,30024100;30024200;30024900;30069300,
no,declared,234,30068000,1,1,200209,exports,3006,300680,200612,200701,4595187.00,Waste pharmaceuticals,no,yes,2002->2007,no,yes,same_heading,10,0,10,58,58,35,58,30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200,0,0,30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30024100;30024200;30024900;30025100;30025900;30029010;30029020;30029090;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000,,
