too_recent_to_call,retirement_basis,months_before_delivery_end,retiring_code,span_index,span_count,span_first_period,flow,heading,subheading,last_period,boundary,total_value_cad,description,subheading_survives,at_hs_revision_boundary,wco_table,cbsa_concordance_covers,tariff_schedule_covers,narrowest_tier,narrowest_count,n_same_subheading,n_same_heading,n_same_chapter,n_any_alive,n_continuous,n_alive_after_ignoring_continuity,candidates_continuous,n_born_at_boundary,n_carve_out,candidates_narrowest,candidates_outside_narrowest,candidates_born_at_boundary,candidates_carve_out
no,declared,366,30023900,1,1,198801,exports,3002,300239,199512,199601,40239940.00,"Vaccines, veterinary use, nes",no,no,,no,no,same_heading,20,0,20,61,61,30,61,30021000;30022000;30023010;30023090;30029000;30029090,1,0,30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090,30011000;30012000;30019000;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30023090,
no,declared,354,30029000,1,1,198901,exports,3002,300290,199612,199701,87070203.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",yes,no,,no,no,same_subheading,3,3,19,60,60,31,60,30029010;30029020;30029090,1,0,30029010;30029020;30029090,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30024100;30024200;30024900;30025100;30025900;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029090,
no,code_reused,450,30029010,1,2,198801,exports,3002,300290,198812,198901,7990944.00,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",yes,no,,no,no,same_subheading,3,3,21,62,62,30,62,30029000,7,0,30029000;30029020;30029090,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,code_reused,450,30029020,1,2,198801,exports,3002,300290,198812,198901,331522.00,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",yes,no,,no,no,same_subheading,3,3,21,62,62,30,62,30029000,7,0,30029000;30029010;30029090,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30031000;30032000;30033100;30033900;30034000;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,30029000;30041000;30042000;30043200;30043900;30045000;30049000,
no,declared,115,30029020,2,2,199705,exports,3002,300290,201611,201612,10613008.00,Saxitoxin,yes,yes,2012->2017,yes,yes,same_subheading,2,2,17,55,55,43,55,30029010;30029090,0,0,30029010;30029090,30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023090;30024100;30024200;30024900;30025100;30025900;30031000;30032000;30033100;30033900;30034100;30034200;30034900;30036000;30039000;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
yes,trade_ceased_only,1,30031000,1,1,198801,exports,3003,300310,202605,202606,2184328.00,"Medi,cont penicillins/deriv w penicillanic acid struct, streptomycins/deriv,nfrs",no,no,,no,yes,same_heading,4,0,4,38,38,38,38,30032000;30033900;30034900;30039000,0,0,30032000;30033900;30034900;30039000,30019000;30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30041000;30042000;30043100;30043200;30043900;30044200;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,code_reused,398,30033100,1,2,198801,exports,3003,300331,199304,199305,745761.00,"Insulin, formulated, in bulk",no,no,,no,no,same_heading,9,0,9,62,62,29,62,30031000;30032000;30033900;30034000;30039000,0,0,30031000;30032000;30033900;30034000;30034100;30034200;30034900;30036000;30039000,30011000;30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023010;30023090;30023100;30023900;30024100;30024200;30024900;30025100;30025900;30029000;30029010;30029020;30029090;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30068000;30069100;30069200;30069300,,
yes,trade_ceased_only,13,30033100,2,2,200203,exports,3003,300331,202505,202506,1208878.00,"Medicaments,cont insulin,mixed,not in doses/forms/pack/frs,o/t No 30.02/05/06",no,no,,no,yes,same_heading,5,0,5,41,41,41,41,30031000;30032000;30033900;30034900;30039000,0,0,30031000;30032000;30033900;30034900;30039000,30012000;30019000;30021200;30021300;30021400;30021500;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,declared,115,30034000,1,1,198804,exports,3003,300340,201611,201612,2243690.00,"Alkaloids or their derivs, formltd, not cntg antibiotics or hormones, in bulk",no,yes,2012->2017,yes,yes,same_heading,9,0,9,55,55,43,55,30031000;30032000;30033100;30033900;30039000,0,0,30031000;30032000;30033100;30033900;30034100;30034200;30034900;30036000;30039000,30012000;30019000;30021000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30023090;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30041000;30042000;30043100;30043200;30043900;30044000;30044100;30044200;30044300;30044900;30045000;30046000;30049000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
no,trade_ceased_only,69,30034100,1,1,202009,exports,3003,300341,202009,202010,16605.00,"Medicaments,cont ephedrin/salts,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",no,no,,no,yes,same_heading,8,0,8,50,50,44,50,30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000,0,0,30031000;30032000;30033100;30033900;30034200;30034900;30036000;30039000,30012000;30019000;30021100;30021200;30021300;30021400;30021500;30021900;30022000;30023000;30024100;30024200;30024900;30025100;30025900;30029010;30029090;30041000;30042000;30043100;30043200;30043900;30044100;30044200;30044300;30044900;30045000;30046000;30049010;30049090;30051000;30059000;30061000;30062000;30063000;30064000;30065000;30066000;30067000;30069100;30069200;30069300,,
