record_id,family_id,flow,step_number,steps_in_journey,hs_code,description,step_first_period,step_last_period,rewordings_within_step,step_status,next_hs_code
EXR-30024200-202201,EX-30023100-198801,exports,1,1,3002.42.00,"Vaccines, for veterinary medecine",202201,202606,0,active,
EXR-30024900-202201,EX-30024900-202201,exports,1,1,3002.49.00,"Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",202201,202606,0,active,
EXR-30025100-202202,EX-30025100-202202,exports,1,1,3002.51.00,"Cell therapy products, whether or not modified",202202,202606,0,active,
EXR-30025900-202202,EX-30025900-202202,exports,1,1,3002.59.00,"Cell cultures, whether or not modified, nes",202202,202606,0,active,
EXR-30029000-198901,EX-30029010-198801,exports,1,2,3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",198901,199612,0,succeeded,3002.90.90
EXR-30029000-198901,EX-30029010-198801,exports,2,2,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",199701,202606,3,active,
EXR-30029010-198801,EX-30029010-198801,exports,1,3,3002.90.10,"Human blood;animal blood for therap,prophtc/diag use; microbial prep,human use",198801,198812,0,succeeded,3002.90.00
EXR-30029010-198801,EX-30029010-198801,exports,2,3,3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",198901,199612,0,succeeded,3002.90.90
EXR-30029010-198801,EX-30029010-198801,exports,3,3,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",199701,202606,3,active,
EXR-30029010-199712,EX-30029010-199712,exports,1,1,3002.90.10,Ricin,199712,202606,0,active,
EXR-30029020-198801,EX-30029010-198801,exports,1,3,3002.90.20,"Human blood;animal blood for therap,prophtc/diag use;microbial prep nes,vet use",198801,198812,0,succeeded,3002.90.00
EXR-30029020-198801,EX-30029010-198801,exports,2,3,3002.90.00,"Human blood;animal blood for therap,prophtc or diag uses; microbial prep nes",198901,199612,0,succeeded,3002.90.90
EXR-30029020-198801,EX-30029010-198801,exports,3,3,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",199701,202606,3,active,
EXR-30029020-199705,EX-30029010-198801,exports,1,2,3002.90.20,Saxitoxin,199705,201611,0,succeeded,3002.90.90
EXR-30029020-199705,EX-30029010-198801,exports,2,2,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",201201,202606,2,active,
EXR-30029090-199701,EX-30029010-198801,exports,1,1,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",199701,202606,3,active,
EXR-30029090-201201,EX-30029010-198801,exports,1,1,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",201201,202606,2,active,
EXR-30029090-201701,EX-30029010-198801,exports,1,1,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",201701,202606,1,active,
EXR-30029090-202201,EX-30029010-198801,exports,1,1,3002.90.90,"Human blood;animal blood therap/diag,etc;antisera,etc;vaccines,etc;cell cult,nes",202201,202606,0,active,
