year_label,hs10,tariff_item8,ss,heading4,description,uom,group_header,page,source_file
2010,3001.20.00.00,3001.20.00,00,30.01,Extracts of glands or other organs or of their secretions,KGM,,484,PS36-1-2010-eng.pdf
2010,3001.90.00.10,3001.90.00,10,30.01,Heparin and its salts,KGM,,484,PS36-1-2010-eng.pdf
2010,3001.90.00.20,3001.90.00,20,30.01,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM,,484,PS36-1-2010-eng.pdf
2010,3001.90.00.90,3001.90.00,90,30.01,Other,KGM,,484,PS36-1-2010-eng.pdf
2010,3002.10.00.10,3002.10.00,10,30.02,"Human antisera and other human blood fractions, for diagnostic use",KGM,,484,PS36-1-2010-eng.pdf
2010,3002.10.00.21,3002.10.00,21,30.02,Blood plasma,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",484,PS36-1-2010-eng.pdf
2010,3002.10.00.22,3002.10.00,22,30.02,Normal serum globulin,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",484,PS36-1-2010-eng.pdf
2010,3002.10.00.23,3002.10.00,23,30.02,Immune serum globulin,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",484,PS36-1-2010-eng.pdf
2010,3002.10.00.29,3002.10.00,29,30.02,Other,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",484,PS36-1-2010-eng.pdf
2010,3002.10.00.30,3002.10.00,30,30.02,"Human antisera and other human blood fractions, for other uses",KGM,,484,PS36-1-2010-eng.pdf
2010,3002.10.00.41,3002.10.00,41,30.02,Bovine albumin,KGM,"Animal blood albumin, sera and antisera, for parenteral administration in humans",484,PS36-1-2010-eng.pdf
2010,3002.10.00.42,3002.10.00,42,30.02,Sera and antisera,KGM,"Animal blood albumin, sera and antisera, for parenteral administration in humans",484,PS36-1-2010-eng.pdf
2010,3002.10.00.49,3002.10.00,49,30.02,Other,KGM,"Animal blood albumin, sera and antisera, for parenteral administration in humans",484,PS36-1-2010-eng.pdf
2010,3002.10.00.51,3002.10.00,51,30.02,For use in humans,KGM,Other animal blood fractions,484,PS36-1-2010-eng.pdf
2010,3002.10.00.59,3002.10.00,59,30.02,Other,KGM,Other animal blood fractions,484,PS36-1-2010-eng.pdf
2010,3002.10.00.60,3002.10.00,60,30.02,Modified immunological products,KGM,,484,PS36-1-2010-eng.pdf
2010,3002.20.00.10,3002.20.00,10,30.02,Against influenza virus,-,,484,PS36-1-2010-eng.pdf
2010,3002.20.00.20,3002.20.00,20,30.02,Against rubella (German measles),-,,484,PS36-1-2010-eng.pdf
2010,3002.20.00.30,3002.20.00,30,30.02,Against rabies,-,,485,PS36-1-2010-eng.pdf
2010,3002.20.00.90,3002.20.00,90,30.02,Other,-,,485,PS36-1-2010-eng.pdf
2010,3002.30.00.10,3002.30.00,10,30.02,Vaccines against foot and mouth disease; vaccines prepared for parenteral administration; bovine intranasal vaccine,-,,485,PS36-1-2010-eng.pdf
2010,3002.30.00.90,3002.30.00,90,30.02,Other,-,,485,PS36-1-2010-eng.pdf
2010,3002.90.00.11,3002.90.00,11,30.02,Ricin,-,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",485,PS36-1-2010-eng.pdf
2010,3002.90.00.12,3002.90.00,12,30.02,Saxitoxin,-,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",485,PS36-1-2010-eng.pdf
2010,3002.90.00.19,3002.90.00,19,30.02,Other,-,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",485,PS36-1-2010-eng.pdf
2010,3002.90.00.20,3002.90.00,20,30.02,Butter-making ferment cultures,KGM,,485,PS36-1-2010-eng.pdf
2010,3002.90.00.30,3002.90.00,30,30.02,"Dried blood of animal origin, whether or not soluble",-,,485,PS36-1-2010-eng.pdf
2010,3002.90.00.91,3002.90.00,91,30.02,Bacteria culture inoculants for seeds,-,Other,485,PS36-1-2010-eng.pdf
2010,3002.90.00.92,3002.90.00,92,30.02,Whole human blood,-,Other,485,PS36-1-2010-eng.pdf
2010,3002.90.00.93,3002.90.00,93,30.02,Antiallergenic preparations of microbial origin,-,Other,485,PS36-1-2010-eng.pdf
2010,3002.90.00.99,3002.90.00,99,30.02,Other,-,Other,485,PS36-1-2010-eng.pdf
2010,3003.10.00.00,3003.10.00,00,30.03,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM,,485,PS36-1-2010-eng.pdf
2010,3003.20.00.00,3003.20.00,00,30.03,Containing other antibiotics,KGM,,485,PS36-1-2010-eng.pdf
2010,3003.31.00.10,3003.31.00,10,30.03,Prepared for parenteral administration in humans,KGM,,485,PS36-1-2010-eng.pdf
2010,3003.31.00.90,3003.31.00,90,30.03,Other,KGM,,485,PS36-1-2010-eng.pdf
2010,3003.39.00.10,3003.39.00,10,30.03,"Epinephrine and its solutions, prepared for parenteral administration in humans",KGM,,486,PS36-1-2010-eng.pdf
2010,3003.39.00.90,3003.39.00,90,30.03,Other,KGM,,486,PS36-1-2010-eng.pdf
2010,3003.40.00.00,3003.40.00,00,30.03,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,KGM,,486,PS36-1-2010-eng.pdf
2010,3003.90.00.10,3003.90.00,10,30.03,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",KGM,,486,PS36-1-2010-eng.pdf
2010,3003.90.00.20,3003.90.00,20,30.03,Containing more than 23% of absolute ethyl alcohol by volume,LTR,,486,PS36-1-2010-eng.pdf
2010,3003.90.00.91,3003.90.00,91,30.03,Containing acetaminophen,KGM,Other,486,PS36-1-2010-eng.pdf
2010,3003.90.00.99,3003.90.00,99,30.03,Other,KGM,Other,486,PS36-1-2010-eng.pdf
2010,3004.10.00.11,3004.10.00,11,30.04,Containing penicillin G sodium,-,"For human use, containing penicillins or derivatives thereof",486,PS36-1-2010-eng.pdf
2010,3004.10.00.12,3004.10.00,12,30.04,Containing penicillin V,-,"For human use, containing penicillins or derivatives thereof",486,PS36-1-2010-eng.pdf
2010,3004.10.00.13,3004.10.00,13,30.04,Containing amoxacillin,-,"For human use, containing penicillins or derivatives thereof",486,PS36-1-2010-eng.pdf
2010,3004.10.00.19,3004.10.00,19,30.04,Other,-,"For human use, containing penicillins or derivatives thereof",486,PS36-1-2010-eng.pdf
2010,3004.10.00.20,3004.10.00,20,30.04,"For human use, containing streptomycins or their derivatives",-,,486,PS36-1-2010-eng.pdf
2010,3004.10.00.31,3004.10.00,31,30.04,Containing penicillins or derivatives thereof,-,For veterinary use,486,PS36-1-2010-eng.pdf
2010,3004.10.00.32,3004.10.00,32,30.04,Containing streptomycins or derivatives thereof,-,For veterinary use,486,PS36-1-2010-eng.pdf
2010,3004.20.00.10,3004.20.00,10,30.04,"For human use, containing tetracyclines or their derivatives",-,,486,PS36-1-2010-eng.pdf
2010,3004.20.00.20,3004.20.00,20,30.04,"For human use, containing cephalosporins",-,,486,PS36-1-2010-eng.pdf
2010,3004.20.00.31,3004.20.00,31,30.04,Containing erythromycin,-,"For human use, containing macrolides",486,PS36-1-2010-eng.pdf
2010,3004.20.00.39,3004.20.00,39,30.04,Other,-,"For human use, containing macrolides",486,PS36-1-2010-eng.pdf
2010,3004.20.00.41,3004.20.00,41,30.04,Containing gentamycins,-,"For human use, containing aminoglycosides",486,PS36-1-2010-eng.pdf
2010,3004.20.00.49,3004.20.00,49,30.04,Other,-,"For human use, containing aminoglycosides",486,PS36-1-2010-eng.pdf
2010,3004.20.00.51,3004.20.00,51,30.04,Containing bacitracin,-,"For human use, containing polypeptides",487,PS36-1-2010-eng.pdf
2010,3004.20.00.59,3004.20.00,59,30.04,Other,-,"For human use, containing polypeptides",487,PS36-1-2010-eng.pdf
2010,3004.20.00.61,3004.20.00,61,30.04,Containing chloramphenicol,-,"For human use, containing other antibiotics",487,PS36-1-2010-eng.pdf
2010,3004.20.00.62,3004.20.00,62,30.04,Containing mitomycin C,-,"For human use, containing other antibiotics",487,PS36-1-2010-eng.pdf
2010,3004.20.00.63,3004.20.00,63,30.04,Containing vancomycin,-,"For human use, containing other antibiotics",487,PS36-1-2010-eng.pdf
2010,3004.20.00.69,3004.20.00,69,30.04,Other,-,"For human use, containing other antibiotics",487,PS36-1-2010-eng.pdf
