boundary_from,boundary_to,section,page_index,page_label,code,code_is,statement,source_pdf
2017,2022,TABLE_I,8,9,3002.19,old,This subheading was considered by the HS Committee as empty,WTO_HSCodes_2017_to_2022.pdf
2017,2022,TABLE_II,29,30,3002.19,old,This subheading was considered by the HS Committee to be empty and it was therefore deleted,WTO_HSCodes_2017_to_2022.pdf
