year_label,hs10,tariff_item8,ss,heading4,description,uom,group_header,page,source_file
2016,3001.20.00.00,3001.20.00,00,30.01,Extracts of glands or other organs or of their secretions,KGM,,442,PS35-7-2016-eng.pdf
2016,3001.90.00.10,3001.90.00,10,30.01,Heparin and its salts,KGM,,442,PS35-7-2016-eng.pdf
2016,3001.90.00.20,3001.90.00,20,30.01,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM,,442,PS35-7-2016-eng.pdf
2016,3001.90.00.90,3001.90.00,90,30.01,Other,KGM,,442,PS35-7-2016-eng.pdf
2016,3002.10.00.10,3002.10.00,10,30.02,"Human antisera and other human blood fractions, for diagnostic use",KGM,,442,PS35-7-2016-eng.pdf
2016,3002.10.00.21,3002.10.00,21,30.02,Blood plasma,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",442,PS35-7-2016-eng.pdf
2016,3002.10.00.22,3002.10.00,22,30.02,Normal serum globulin,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",442,PS35-7-2016-eng.pdf
2016,3002.10.00.23,3002.10.00,23,30.02,Immune serum globulin,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",442,PS35-7-2016-eng.pdf
2016,3002.10.00.29,3002.10.00,29,30.02,Other,KGM,"Human antisera and other human blood fractions, for therapeutic or prophylactic use in humans",442,PS35-7-2016-eng.pdf
2016,3002.10.00.30,3002.10.00,30,30.02,"Human antisera and other human blood fractions, for other uses",KGM,,442,PS35-7-2016-eng.pdf
2016,3002.10.00.41,3002.10.00,41,30.02,Bovine albumin,KGM,"Animal blood albumin, sera and antisera, for parenteral administration in humans",442,PS35-7-2016-eng.pdf
2016,3002.10.00.42,3002.10.00,42,30.02,Sera and antisera,KGM,"Animal blood albumin, sera and antisera, for parenteral administration in humans",442,PS35-7-2016-eng.pdf
2016,3002.10.00.49,3002.10.00,49,30.02,Other,KGM,"Animal blood albumin, sera and antisera, for parenteral administration in humans",442,PS35-7-2016-eng.pdf
2016,3002.10.00.51,3002.10.00,51,30.02,For use in humans,KGM,Other animal blood fractions,442,PS35-7-2016-eng.pdf
2016,3002.10.00.59,3002.10.00,59,30.02,Other,KGM,Other animal blood fractions,442,PS35-7-2016-eng.pdf
2016,3002.10.00.90,3002.10.00,90,30.02,Other,-,,442,PS35-7-2016-eng.pdf
2016,3002.20.00.10,3002.20.00,10,30.02,Against influenza virus,-,,443,PS35-7-2016-eng.pdf
2016,3002.20.00.90,3002.20.00,90,30.02,Other,-,,443,PS35-7-2016-eng.pdf
