year,hs10,tariff_item8,description,uom
2009,3001.90.00.10,3001.90.00,Heparin and its salts,KGM
2009,3001.90.00.20,3001.90.00,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM
2009,3001.90.00.90,3001.90.00,Other,KGM
2009,3002.10.00.10,3002.10.00,"Human antisera and other human blood fractions, for diagnostic use",KGM
2009,3002.10.00.21,3002.10.00,Blood plasma,KGM
2009,3002.10.00.22,3002.10.00,Normal serum globulin,KGM
2009,3002.10.00.23,3002.10.00,Immune serum globulin,KGM
2009,3002.10.00.29,3002.10.00,Other,KGM
2009,3002.10.00.30,3002.10.00,"Human antisera and other human blood fractions, for other uses",KGM
2009,3002.10.00.41,3002.10.00,Bovine albumin,KGM
2009,3002.10.00.42,3002.10.00,Sera and antisera,KGM
2009,3002.10.00.49,3002.10.00,Other,KGM
2009,3002.10.00.51,3002.10.00,For use in humans,KGM
2009,3002.10.00.59,3002.10.00,Other,KGM
2009,3002.10.00.60,3002.10.00,Modified immunological products,KGM
2009,3002.20.00.10,3002.20.00,Against influenza virus,-
2009,3002.20.00.20,3002.20.00,Against rubella (German measles),-
2009,3002.20.00.30,3002.20.00,Against rabies,-
2009,3002.20.00.90,3002.20.00,Other,-
2009,3002.30.00.10,3002.30.00,Vaccines against foot and mouth disease; vaccines prepared for parenteral administration; bovine intranasal vaccine,-
2009,3002.30.00.90,3002.30.00,Other,-
2009,3002.90.00.11,3002.90.00,Ricin,-
2009,3002.90.00.12,3002.90.00,Saxitoxin,-
2009,3002.90.00.19,3002.90.00,Other,-
2009,3002.90.00.20,3002.90.00,Butter-making ferment cultures,KGM
2009,3002.90.00.30,3002.90.00,"Dried blood of animal origin, whether or not soluble",-
2009,3002.90.00.91,3002.90.00,Bacteria culture inoculants for seeds,-
2009,3002.90.00.92,3002.90.00,Whole human blood,-
2009,3002.90.00.93,3002.90.00,Antiallergenic preparations of microbial origin,-
2009,3002.90.00.99,3002.90.00,Other,-
2009,3003.10.00.00,3003.10.00,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM
2009,3003.20.00.00,3003.20.00,Containing other antibiotics,KGM
2009,3003.31.00.10,3003.31.00,Prepared for parenteral administration in humans,KGM
2009,3003.31.00.90,3003.31.00,Other,KGM
2009,3003.39.00.10,3003.39.00,"Epinephrine and its solutions, prepared for parenteral administration in humans",KGM
2009,3003.39.00.90,3003.39.00,Other,KGM
2009,3003.40.00.00,3003.40.00,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,KGM
2009,3003.90.00.10,3003.90.00,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",KGM
2009,3003.90.00.20,3003.90.00,Containing more than 23% of absolute ethyl alcohol by volume,LTR
2009,3003.90.00.91,3003.90.00,Containing acetaminophen,KGM
2009,3003.90.00.99,3003.90.00,Other,KGM
2009,3004.10.00.11,3004.10.00,Containing penicillin G sodium,-
2009,3004.10.00.12,3004.10.00,Containing penicillin V,-
2009,3004.10.00.13,3004.10.00,Containing amoxacillin,-
2009,3004.10.00.19,3004.10.00,Other,-
2009,3004.10.00.20,3004.10.00,"For human use, containing streptomycins or their derivatives",-
2009,3004.10.00.31,3004.10.00,Containing penicillins or derivatives thereof,-
2009,3004.10.00.32,3004.10.00,Containing streptomycins or derivatives thereof,-
2009,3004.20.00.10,3004.20.00,"For human use, containing tetracyclines or their derivatives",-
2009,3004.20.00.20,3004.20.00,"For human use, containing cephalosporins",-
2009,3004.20.00.31,3004.20.00,Containing erythromycin,-
2009,3004.20.00.39,3004.20.00,Other,-
2009,3004.20.00.41,3004.20.00,Containing gentamycins,-
2009,3004.20.00.49,3004.20.00,Other,-
2009,3004.20.00.51,3004.20.00,Containing bacitracin,-
2009,3004.20.00.59,3004.20.00,Other,-
2009,3004.20.00.61,3004.20.00,Containing chloramphenicol,-
2009,3004.20.00.62,3004.20.00,Containing mitomycin C,-
2009,3004.20.00.63,3004.20.00,Containing vancomycin,-
2009,3004.20.00.69,3004.20.00,Other,-
2009,3004.20.00.71,3004.20.00,Containing ivermectin,-
2009,3004.20.00.79,3004.20.00,Other,-
2009,3004.31.00.10,3004.31.00,"Insulin, whether or not mixed with zinc, globin or protamine, prepared for parenteral administration",-
2009,3004.31.00.90,3004.31.00,Other,-
2009,3004.32.00.11,3004.32.00,Containing hydrocortisone,-
2009,3004.32.00.19,3004.32.00,Other,-
2009,3004.32.00.20,3004.32.00,For veterinary use,-
2009,3004.39.00.10,3004.39.00,"Epinephrine and its solutions and pituitary extracts, prepared for parenteral administration",-
2009,3004.39.00.81,3004.39.00,Containing anterior pituitary hormones,-
2009,3004.39.00.82,3004.39.00,Containing posterior pituitary hormones,-
2009,3004.39.00.83,3004.39.00,Containing unmixed single estrogens,-
2009,3004.39.00.84,3004.39.00,Containing unmixed single progestational hormones,-
2009,3004.39.00.85,3004.39.00,Containing other hormones,-
2009,3004.39.00.90,3004.39.00,"Other, for veterinary use",-
2009,3004.40.00.10,3004.40.00,Containing codeine or its derivatives,-
2009,3004.40.00.20,3004.40.00,Containing vincristine,-
2009,3004.40.00.30,3004.40.00,Containing theophylline,-
2009,3004.40.00.40,3004.40.00,Containing morphine or derivatives thereof,-
2009,3004.40.00.50,3004.40.00,Containing aminophylline,-
2009,3004.40.00.80,3004.40.00,Containing other narcotic vegetable alkaloids or their narcotic derivatives,-
2009,3004.40.00.90,3004.40.00,Containing other non-narcotic vegetable alkaloids or their non-narcotic derivatives,-
2009,3004.50.00.10,3004.50.00,"Mixtures of amino acids and vitamins, and mixtures of amino acids, protein hydrolysates and vitamins, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders",-
2009,3004.50.00.20,3004.50.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2009,3004.50.00.31,3004.50.00,Containing vitamin C,-
2009,3004.50.00.32,3004.50.00,Containing vitamin E,-
2009,3004.50.00.39,3004.50.00,Other,-
2009,3004.50.00.40,3004.50.00,"Other, for human use, containing a single vitamin mixed with other supplements",-
2009,3004.50.00.50,3004.50.00,"Other, for human use, containing multivitamins not mixed with other supplements",-
2009,3004.50.00.61,3004.50.00,Vitamin-iron preparations,-
2009,3004.50.00.69,3004.50.00,Other,-
2009,3004.50.00.70,3004.50.00,"Other, for veterinary use",-
2009,3004.90.00.11,3004.90.00,Amino acids,-
2009,3004.90.00.12,3004.90.00,Dextrose (glucose) and levulose (fructose) solutions,-
2009,3004.90.00.19,3004.90.00,Other,-
2009,3004.90.00.20,3004.90.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2009,3004.90.00.31,3004.90.00,Analgesics,-
2009,3004.90.00.32,3004.90.00,Antidepressants and tranquilizers,-
2009,3004.90.00.33,3004.90.00,Antihypertensive agents,-
2009,3004.90.00.34,3004.90.00,Antihistaminic agents,-
2009,3004.90.00.35,3004.90.00,Other agents acting on the central nervous system,-
2009,3004.90.00.36,3004.90.00,Local anaesthetics,-
2009,3004.90.00.39,3004.90.00,Other,-
2009,3004.90.00.41,3004.90.00,Histamine H+2 receptor antagonist,-
2009,3004.90.00.42,3004.90.00,Laxatives,-
2009,3004.90.00.43,3004.90.00,Antacids,-
2009,3004.90.00.49,3004.90.00,Other,-
2009,3004.90.00.50,3004.90.00,"Other, for human use, acting on the cardio-vascular system",-
2009,3004.90.00.61,3004.90.00,Containing sulfonamides,-
2009,3004.90.00.69,3004.90.00,Other,-
2009,3004.90.00.71,3004.90.00,Haematological agents,-
2009,3004.90.00.72,3004.90.00,Antineoplastic agents,-
2009,3004.90.00.73,3004.90.00,Cough or cold preparations,-
2009,3004.90.00.74,3004.90.00,"Other, primarily affecting the eyes, ears or respiratory system",-
2009,3004.90.00.75,3004.90.00,Diuretics,-
2009,3004.90.00.76,3004.90.00,"Other medicaments primarily affecting electrolytic, caloric or water balance",-
2009,3004.90.00.77,3004.90.00,Dermatological agents,-
2009,3004.90.00.78,3004.90.00,Containing hyaluronic acid or its sodium salt,-
2009,3004.90.00.79,3004.90.00,Other,-
2009,3004.90.00.81,3004.90.00,Anaesthetics,-
2009,3004.90.00.89,3004.90.00,Other,-
2009,3005.10.00.10,3005.10.00,Coated or impregnated with pharmaceutical substances,-
2009,3005.10.00.91,3005.10.00,Adhesive dressings,-
2009,3005.10.00.99,3005.10.00,Other,-
2009,3005.90.00.10,3005.90.00,"Bandages and slabs of textile fabric specially coated with plaster of Paris compound; other articles specially designed for use as, or for use in the making of orthopaedic casts",-
2009,3005.90.00.20,3005.90.00,Coated or impregnated with pharmaceutical substances,-
2009,3005.90.00.30,3005.90.00,"Surgical dressings, not stitched or otherwise manufactured, not coated or impregnated with pharmaceutical substances",-
2009,3005.90.00.40,3005.90.00,"Other, of woven fabrics other than woven fabrics solely of cotton; of knitted fabrics, nonwovens or felts",-
2009,3005.90.00.50,3005.90.00,"Other, of woven fabrics solely of cotton",-
2009,3005.90.00.60,3005.90.00,"Other, of paper",-
2009,3005.90.00.90,3005.90.00,Other,-
2009,3006.10.00.10,3006.10.00,Sterile surgical catgut and similar sterile suture materials for surgical woundclosure,-
2009,3006.10.00.90,3006.10.00,Other,-
2009,3006.20.00.10,3006.20.00,Of human origin,-
2009,3006.20.00.20,3006.20.00,Of animal origin,-
2009,3006.20.00.90,3006.20.00,Of other origin,-
2009,3006.30.00.10,3006.30.00,Opacifying preparations for X-ray examinations,-
2009,3006.30.00.20,3006.30.00,Allergenics prepared for parenteral administration,-
2009,3006.30.00.90,3006.30.00,Other,-
2009,3006.40.00.10,3006.40.00,Dental cements and bone reconstruction cements,-
2009,3006.40.00.20,3006.40.00,Points for filling dental root canals,-
2009,3006.40.00.30,3006.40.00,"Dental fillings of composition metals, excluding those in powder or pellet form",-
2009,3006.40.00.90,3006.40.00,Other dental fillings,-
2009,3006.50.00.00,3006.50.00,First-aid boxes and kits,-
2009,3006.60.00.11,3006.60.00,Containing norethesterone acetate and ethinylestradiol,-
2009,3006.60.00.19,3006.60.00,Other,-
2009,3006.60.00.90,3006.60.00,Other than in measured doses,-
2009,3006.70.10.00,3006.70.10,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen",-
2009,3006.70.90.00,3006.70.90,Other,-
2009,3006.91.00.00,3006.91.00,Appliances identifiable for ostomy use,-
2009,3006.92.00.00,3006.92.00,Waste pharmaceuticals,-
2010,3001.20.00.00,3001.20.00,Extracts of glands or other organs or of their secretions,KGM
2010,3001.90.00.10,3001.90.00,Heparin and its salts,KGM
2010,3001.90.00.20,3001.90.00,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM
2010,3001.90.00.90,3001.90.00,Other,KGM
2010,3002.10.00.10,3002.10.00,"Human antisera and other human blood fractions, for diagnostic use",KGM
2010,3002.10.00.21,3002.10.00,Blood plasma,KGM
2010,3002.10.00.22,3002.10.00,Normal serum globulin,KGM
2010,3002.10.00.23,3002.10.00,Immune serum globulin,KGM
2010,3002.10.00.29,3002.10.00,Other,KGM
2010,3002.10.00.30,3002.10.00,"Human antisera and other human blood fractions, for other uses",KGM
2010,3002.10.00.41,3002.10.00,Bovine albumin,KGM
2010,3002.10.00.42,3002.10.00,Sera and antisera,KGM
2010,3002.10.00.49,3002.10.00,Other,KGM
2010,3002.10.00.51,3002.10.00,For use in humans,KGM
2010,3002.10.00.59,3002.10.00,Other,KGM
2010,3002.10.00.60,3002.10.00,Modified immunological products,KGM
2010,3002.20.00.10,3002.20.00,Against influenza virus,-
2010,3002.20.00.20,3002.20.00,Against rubella (German measles),-
2010,3002.20.00.30,3002.20.00,Against rabies,-
2010,3002.20.00.90,3002.20.00,Other,-
2010,3002.30.00.10,3002.30.00,Vaccines against foot and mouth disease; vaccines prepared for parenteral administration; bovine intranasal vaccine,-
2010,3002.30.00.90,3002.30.00,Other,-
2010,3002.90.00.11,3002.90.00,Ricin,-
2010,3002.90.00.12,3002.90.00,Saxitoxin,-
2010,3002.90.00.19,3002.90.00,Other,-
2010,3002.90.00.20,3002.90.00,Butter-making ferment cultures,KGM
2010,3002.90.00.30,3002.90.00,"Dried blood of animal origin, whether or not soluble",-
2010,3002.90.00.91,3002.90.00,Bacteria culture inoculants for seeds,-
2010,3002.90.00.92,3002.90.00,Whole human blood,-
2010,3002.90.00.93,3002.90.00,Antiallergenic preparations of microbial origin,-
2010,3002.90.00.99,3002.90.00,Other,-
2010,3003.10.00.00,3003.10.00,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM
2010,3003.20.00.00,3003.20.00,Containing other antibiotics,KGM
2010,3003.31.00.10,3003.31.00,Prepared for parenteral administration in humans,KGM
2010,3003.31.00.90,3003.31.00,Other,KGM
2010,3003.39.00.10,3003.39.00,"Epinephrine and its solutions, prepared for parenteral administration in humans",KGM
2010,3003.39.00.90,3003.39.00,Other,KGM
2010,3003.40.00.00,3003.40.00,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,KGM
2010,3003.90.00.10,3003.90.00,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",KGM
2010,3003.90.00.20,3003.90.00,Containing more than 23% of absolute ethyl alcohol by volume,LTR
2010,3003.90.00.91,3003.90.00,Containing acetaminophen,KGM
2010,3003.90.00.99,3003.90.00,Other,KGM
2010,3004.10.00.11,3004.10.00,Containing penicillin G sodium,-
2010,3004.10.00.12,3004.10.00,Containing penicillin V,-
2010,3004.10.00.13,3004.10.00,Containing amoxacillin,-
2010,3004.10.00.19,3004.10.00,Other,-
2010,3004.10.00.20,3004.10.00,"For human use, containing streptomycins or their derivatives",-
2010,3004.10.00.31,3004.10.00,Containing penicillins or derivatives thereof,-
2010,3004.10.00.32,3004.10.00,Containing streptomycins or derivatives thereof,-
2010,3004.20.00.10,3004.20.00,"For human use, containing tetracyclines or their derivatives",-
2010,3004.20.00.20,3004.20.00,"For human use, containing cephalosporins",-
2010,3004.20.00.31,3004.20.00,Containing erythromycin,-
2010,3004.20.00.39,3004.20.00,Other,-
2010,3004.20.00.41,3004.20.00,Containing gentamycins,-
2010,3004.20.00.49,3004.20.00,Other,-
2010,3004.20.00.51,3004.20.00,Containing bacitracin,-
2010,3004.20.00.59,3004.20.00,Other,-
2010,3004.20.00.61,3004.20.00,Containing chloramphenicol,-
2010,3004.20.00.62,3004.20.00,Containing mitomycin C,-
2010,3004.20.00.63,3004.20.00,Containing vancomycin,-
2010,3004.20.00.69,3004.20.00,Other,-
2010,3004.20.00.71,3004.20.00,Containing ivermectin,-
2010,3004.20.00.79,3004.20.00,Other,-
2010,3004.31.00.10,3004.31.00,"Insulin, whether or not mixed with zinc, globin or protamine, prepared for parenteral administration",-
2010,3004.31.00.90,3004.31.00,Other,-
2010,3004.32.00.11,3004.32.00,Containing hydrocortisone,-
2010,3004.32.00.19,3004.32.00,Other,-
2010,3004.32.00.20,3004.32.00,For veterinary use,-
2010,3004.39.00.10,3004.39.00,"Epinephrine and its solutions and pituitary extracts, prepared for parenteral administration",-
2010,3004.39.00.81,3004.39.00,Containing anterior pituitary hormones,-
2010,3004.39.00.82,3004.39.00,Containing posterior pituitary hormones,-
2010,3004.39.00.83,3004.39.00,Containing unmixed single estrogens,-
2010,3004.39.00.84,3004.39.00,Containing unmixed single progestational hormones,-
2010,3004.39.00.85,3004.39.00,Containing other hormones,-
2010,3004.39.00.90,3004.39.00,"Other, for veterinary use",-
2010,3004.40.00.10,3004.40.00,Containing codeine or its derivatives,-
2010,3004.40.00.20,3004.40.00,Containing vincristine,-
2010,3004.40.00.30,3004.40.00,Containing theophylline,-
2010,3004.40.00.40,3004.40.00,Containing morphine or derivatives thereof,-
2010,3004.40.00.50,3004.40.00,Containing aminophylline,-
2010,3004.40.00.80,3004.40.00,Containing other narcotic vegetable alkaloids or their narcotic derivatives,-
2010,3004.40.00.90,3004.40.00,Containing other non-narcotic vegetable alkaloids or their non-narcotic derivatives,-
2010,3004.50.00.10,3004.50.00,"Mixtures of amino acids and vitamins, and mixtures of amino acids, protein hydrolysates and vitamins, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders",-
2010,3004.50.00.20,3004.50.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2010,3004.50.00.31,3004.50.00,Containing vitamin C,-
2010,3004.50.00.32,3004.50.00,Containing vitamin E,-
2010,3004.50.00.39,3004.50.00,Other,-
2010,3004.50.00.40,3004.50.00,"Other, for human use, containing a single vitamin mixed with other supplements",-
2010,3004.50.00.50,3004.50.00,"Other, for human use, containing multivitamins not mixed with other supplements",-
2010,3004.50.00.61,3004.50.00,Vitamin-iron preparations,-
2010,3004.50.00.69,3004.50.00,Other,-
2010,3004.50.00.70,3004.50.00,"Other, for veterinary use",-
2010,3004.90.00.11,3004.90.00,Amino acids,-
2010,3004.90.00.12,3004.90.00,Dextrose (glucose) and levulose (fructose) solutions,-
2010,3004.90.00.19,3004.90.00,Other,-
2010,3004.90.00.20,3004.90.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2010,3004.90.00.31,3004.90.00,Analgesics,-
2010,3004.90.00.32,3004.90.00,Antidepressants and tranquilizers,-
2010,3004.90.00.33,3004.90.00,Antihypertensive agents,-
2010,3004.90.00.34,3004.90.00,Antihistaminic agents,-
2010,3004.90.00.35,3004.90.00,Other agents acting on the central nervous system,-
2010,3004.90.00.36,3004.90.00,Local anaesthetics,-
2010,3004.90.00.39,3004.90.00,Other,-
2010,3004.90.00.41,3004.90.00,Histamine H+2 receptor antagonist,-
2010,3004.90.00.42,3004.90.00,Laxatives,-
2010,3004.90.00.43,3004.90.00,Antacids,-
2010,3004.90.00.49,3004.90.00,Other,-
2010,3004.90.00.50,3004.90.00,"Other, for human use, acting on the cardio-vascular system",-
2010,3004.90.00.61,3004.90.00,Containing sulfonamides,-
2010,3004.90.00.69,3004.90.00,Other,-
2010,3004.90.00.71,3004.90.00,Haematological agents,-
2010,3004.90.00.72,3004.90.00,Antineoplastic agents,-
2010,3004.90.00.73,3004.90.00,Cough or cold preparations,-
2010,3004.90.00.74,3004.90.00,"Other, primarily affecting the eyes, ears or respiratory system",-
2010,3004.90.00.75,3004.90.00,Diuretics,-
2010,3004.90.00.76,3004.90.00,"Other medicaments primarily affecting electrolytic, caloric or water balance",-
2010,3004.90.00.77,3004.90.00,Dermatological agents,-
2010,3004.90.00.78,3004.90.00,Containing hyaluronic acid or its sodium salt,-
2010,3004.90.00.79,3004.90.00,Other,-
2010,3004.90.00.81,3004.90.00,Anaesthetics,-
2010,3004.90.00.89,3004.90.00,Other,-
2010,3005.10.00.10,3005.10.00,Coated or impregnated with pharmaceutical substances,-
2010,3005.10.00.91,3005.10.00,Adhesive dressings,-
2010,3005.10.00.99,3005.10.00,Other,-
2010,3005.90.00.10,3005.90.00,"Bandages and slabs of textile fabric specially coated with plaster of Paris compound; other articles specially designed for use as, or for use in the making of orthopaedic casts",-
2010,3005.90.00.20,3005.90.00,Coated or impregnated with pharmaceutical substances,-
2010,3005.90.00.30,3005.90.00,"Surgical dressings, not stitched or otherwise manufactured, not coated or impregnated with pharmaceutical substances",-
2010,3005.90.00.40,3005.90.00,"Other, of woven fabrics other than woven fabrics solely of cotton; of knitted fabrics, nonwovens or felts",-
2010,3005.90.00.50,3005.90.00,"Other, of woven fabrics solely of cotton",-
2010,3005.90.00.60,3005.90.00,"Other, of paper",-
2010,3005.90.00.90,3005.90.00,Other,-
2010,3006.10.00.10,3006.10.00,Sterile surgical catgut and similar sterile suture materials for surgical woundclosure,-
2010,3006.10.00.90,3006.10.00,Other,-
2010,3006.20.00.10,3006.20.00,Of human origin,-
2010,3006.20.00.20,3006.20.00,Of animal origin,-
2010,3006.20.00.90,3006.20.00,Of other origin,-
2010,3006.30.00.10,3006.30.00,Opacifying preparations for X-ray examinations,-
2010,3006.30.00.20,3006.30.00,Allergenics prepared for parenteral administration,-
2010,3006.30.00.90,3006.30.00,Other,-
2010,3006.40.00.10,3006.40.00,Dental cements and bone reconstruction cements,-
2010,3006.40.00.20,3006.40.00,Points for filling dental root canals,-
2010,3006.40.00.30,3006.40.00,"Dental fillings of composition metals, excluding those in powder or pellet form",-
2010,3006.40.00.90,3006.40.00,Other dental fillings,-
2010,3006.50.00.00,3006.50.00,First-aid boxes and kits,-
2010,3006.60.00.11,3006.60.00,Containing norethesterone acetate and ethinylestradiol,-
2010,3006.60.00.19,3006.60.00,Other,-
2010,3006.60.00.90,3006.60.00,Other than in measured doses,-
2010,3006.70.10.00,3006.70.10,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen",-
2010,3006.70.90.00,3006.70.90,Other,-
2010,3006.91.00.00,3006.91.00,Appliances identifiable for ostomy use,-
2010,3006.92.00.00,3006.92.00,Waste pharmaceuticals,-
2011,3001.20.00.00,3001.20.00,Extracts of glands or other organs or of their secretions,KGM
2011,3001.90.00.10,3001.90.00,Heparin and its salts,KGM
2011,3001.90.00.20,3001.90.00,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM
2011,3001.90.00.90,3001.90.00,Other,KGM
2011,3002.10.00.10,3002.10.00,"Human antisera and other human blood fractions, for diagnostic use",KGM
2011,3002.10.00.21,3002.10.00,Blood plasma,KGM
2011,3002.10.00.22,3002.10.00,Normal serum globulin,KGM
2011,3002.10.00.23,3002.10.00,Immune serum globulin,KGM
2011,3002.10.00.29,3002.10.00,Other,KGM
2011,3002.10.00.30,3002.10.00,"Human antisera and other human blood fractions, for other uses",KGM
2011,3002.10.00.41,3002.10.00,Bovine albumin,KGM
2011,3002.10.00.42,3002.10.00,Sera and antisera,KGM
2011,3002.10.00.49,3002.10.00,Other,KGM
2011,3002.10.00.51,3002.10.00,For use in humans,KGM
2011,3002.10.00.59,3002.10.00,Other,KGM
2011,3002.10.00.60,3002.10.00,Modified immunological products,KGM
2011,3002.20.00.10,3002.20.00,Against influenza virus,-
2011,3002.20.00.20,3002.20.00,Against rubella (German measles),-
2011,3002.20.00.30,3002.20.00,Against rabies,-
2011,3002.20.00.90,3002.20.00,Other,-
2011,3002.30.00.10,3002.30.00,Vaccines against foot and mouth disease; vaccines prepared for parenteral administration; bovine intranasal vaccine,-
2011,3002.30.00.90,3002.30.00,Other,-
2011,3002.90.00.11,3002.90.00,Ricin,-
2011,3002.90.00.12,3002.90.00,Saxitoxin,-
2011,3002.90.00.19,3002.90.00,Other,-
2011,3002.90.00.20,3002.90.00,Butter-making ferment cultures,KGM
2011,3002.90.00.30,3002.90.00,"Dried blood of animal origin, whether or not soluble",-
2011,3002.90.00.91,3002.90.00,Bacteria culture inoculants for seeds,-
2011,3002.90.00.92,3002.90.00,Whole human blood,-
2011,3002.90.00.93,3002.90.00,Antiallergenic preparations of microbial origin,-
2011,3002.90.00.99,3002.90.00,Other,-
2011,3003.10.00.00,3003.10.00,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM
2011,3003.20.00.00,3003.20.00,Containing other antibiotics,KGM
2011,3003.31.00.10,3003.31.00,Prepared for parenteral administration in humans,KGM
2011,3003.31.00.90,3003.31.00,Other,KGM
2011,3003.39.00.10,3003.39.00,"Epinephrine and its solutions, prepared for parenteral administration in humans",KGM
2011,3003.39.00.90,3003.39.00,Other,KGM
2011,3003.40.00.00,3003.40.00,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,KGM
2011,3003.90.00.10,3003.90.00,"Fractionated soya oil emulsions, prepared for parenteral administration; mixtures of amino acids and mixtures of amino acids and protein hydrolysates, whether or not containing added minerals, vitamins, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders; dextrose (glucose) solutions and levulose (fructose) solutions, prepared for parenteral administration",KGM
2011,3003.90.00.20,3003.90.00,Containing more than 23% of absolute ethyl alcohol by volume,LTR
2011,3003.90.00.91,3003.90.00,Containing acetaminophen,KGM
2011,3003.90.00.99,3003.90.00,Other,KGM
2011,3004.10.00.11,3004.10.00,Containing penicillin G sodium,-
2011,3004.10.00.12,3004.10.00,Containing penicillin V,-
2011,3004.10.00.13,3004.10.00,Containing amoxacillin,-
2011,3004.10.00.19,3004.10.00,Other,-
2011,3004.10.00.20,3004.10.00,"For human use, containing streptomycins or their derivatives",-
2011,3004.10.00.31,3004.10.00,Containing penicillins or derivatives thereof,-
2011,3004.10.00.32,3004.10.00,Containing streptomycins or derivatives thereof,-
2011,3004.20.00.10,3004.20.00,"For human use, containing tetracyclines or their derivatives",-
2011,3004.20.00.20,3004.20.00,"For human use, containing cephalosporins",-
2011,3004.20.00.31,3004.20.00,Containing erythromycin,-
2011,3004.20.00.39,3004.20.00,Other,-
2011,3004.20.00.41,3004.20.00,Containing gentamycins,-
2011,3004.20.00.49,3004.20.00,Other,-
2011,3004.20.00.51,3004.20.00,Containing bacitracin,-
2011,3004.20.00.59,3004.20.00,Other,-
2011,3004.20.00.61,3004.20.00,Containing chloramphenicol,-
2011,3004.20.00.62,3004.20.00,Containing mitomycin C,-
2011,3004.20.00.63,3004.20.00,Containing vancomycin,-
2011,3004.20.00.69,3004.20.00,Other,-
2011,3004.20.00.71,3004.20.00,Containing ivermectin,-
2011,3004.20.00.79,3004.20.00,Other,-
2011,3004.31.00.10,3004.31.00,"Insulin, whether or not mixed with zinc, globin or protamine, prepared for parenteral administration",-
2011,3004.31.00.90,3004.31.00,Other,-
2011,3004.32.00.11,3004.32.00,Containing hydrocortisone,-
2011,3004.32.00.19,3004.32.00,Other,-
2011,3004.32.00.20,3004.32.00,For veterinary use,-
2011,3004.39.00.10,3004.39.00,"Epinephrine and its solutions and pituitary extracts, prepared for parenteral administration",-
2011,3004.39.00.81,3004.39.00,Containing anterior pituitary hormones,-
2011,3004.39.00.82,3004.39.00,Containing posterior pituitary hormones,-
2011,3004.39.00.83,3004.39.00,Containing unmixed single estrogens,-
2011,3004.39.00.84,3004.39.00,Containing unmixed single progestational hormones,-
2011,3004.39.00.85,3004.39.00,Containing other hormones,-
2011,3004.39.00.90,3004.39.00,"Other, for veterinary use",-
2011,3004.40.00.10,3004.40.00,Containing codeine or its derivatives,-
2011,3004.40.00.20,3004.40.00,Containing vincristine,-
2011,3004.40.00.30,3004.40.00,Containing theophylline,-
2011,3004.40.00.40,3004.40.00,Containing morphine or derivatives thereof,-
2011,3004.40.00.50,3004.40.00,Containing aminophylline,-
2011,3004.40.00.80,3004.40.00,Containing other narcotic vegetable alkaloids or their narcotic derivatives,-
2011,3004.40.00.90,3004.40.00,Containing other non-narcotic vegetable alkaloids or their non-narcotic derivatives,-
2011,3004.50.00.10,3004.50.00,"Mixtures of amino acids and vitamins, and mixtures of amino acids, protein hydrolysates and vitamins, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders",-
2011,3004.50.00.20,3004.50.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2011,3004.50.00.31,3004.50.00,Containing vitamin C,-
2011,3004.50.00.32,3004.50.00,Containing vitamin E,-
2011,3004.50.00.39,3004.50.00,Other,-
2011,3004.50.00.40,3004.50.00,"Other, for human use, containing a single vitamin mixed with other supplements",-
2011,3004.50.00.50,3004.50.00,"Other, for human use, containing multivitamins not mixed with other supplements",-
