year,hs10,tariff_item8,description,uom
2005,3004.40.00.30,3004.40.00,Containing theophylline,-
2005,3004.40.00.40,3004.40.00,Containing morphine or derivatives thereof,-
2005,3004.40.00.50,3004.40.00,Containing aminophylline,-
2005,3004.40.00.80,3004.40.00,Containing other narcotic vegetable alkaloids or their narcotic derivatives,-
2005,3004.40.00.90,3004.40.00,Containing other non-narcotic vegetable alkaloids or their non-narcotic derivatives,-
2005,3004.50.00.10,3004.50.00,"Mixtures of amino acids and vitamins, and mixtures of amino acids, protein hydrolysates and vitamins, whether or not containing added minerals, fats or carbohydrates, specially compounded for persons afflicted with amino acid disorders",-
2005,3004.50.00.20,3004.50.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2005,3004.50.00.31,3004.50.00,Containing vitamin C,-
2005,3004.50.00.32,3004.50.00,Containing vitamin E,-
2005,3004.50.00.39,3004.50.00,Other,-
2005,3004.50.00.40,3004.50.00,"Other, for human use, containing a single vitamin mixed with other supplements",-
2005,3004.50.00.50,3004.50.00,"Other, for human use, containing multivitamins not mixed with other supplements",-
2005,3004.50.00.61,3004.50.00,Vitamin-iron preparations,-
2005,3004.50.00.69,3004.50.00,Other,-
2005,3004.50.00.70,3004.50.00,"Other, for veterinary use",-
2005,3004.90.00.11,3004.90.00,Amino acids,-
2005,3004.90.00.12,3004.90.00,Dextrose (glucose) and levulose (fructose) solutions,-
2005,3004.90.00.19,3004.90.00,Other,-
2005,3004.90.00.20,3004.90.00,"Other, containing more than 23% of absolute ethyl alcohol by volume",LTR
2005,3004.90.00.31,3004.90.00,Analgesics,-
2005,3004.90.00.32,3004.90.00,Antidepressants and tranquilizers,-
2005,3004.90.00.33,3004.90.00,Antihypertensive agents,-
2005,3004.90.00.34,3004.90.00,Antihistaminic agents,-
2005,3004.90.00.35,3004.90.00,Other agents acting on the central nervous system,-
2005,3004.90.00.36,3004.90.00,Local anaesthetics,-
2005,3004.90.00.39,3004.90.00,Other,-
2005,3004.90.00.41,3004.90.00,Histamine H+2 receptor antagonist,-
2005,3004.90.00.42,3004.90.00,Laxatives,-
2005,3004.90.00.43,3004.90.00,Antacids,-
2005,3004.90.00.49,3004.90.00,Other,-
2005,3004.90.00.50,3004.90.00,"Other, for human use, acting on the cardio-vascular system",-
2005,3004.90.00.61,3004.90.00,Containing sulfonamides,-
2005,3004.90.00.69,3004.90.00,Other,-
2005,3004.90.00.71,3004.90.00,Haematological agents,-
2005,3004.90.00.72,3004.90.00,Antineoplastic agents,-
2005,3004.90.00.73,3004.90.00,Cough or cold preparations,-
2005,3004.90.00.74,3004.90.00,"Other, primarily affecting the eyes, ears or respiratory system",-
2005,3004.90.00.75,3004.90.00,Diuretics,-
2005,3004.90.00.76,3004.90.00,"Other medicaments primarily affecting electrolytic, caloric or water balance",-
2005,3004.90.00.77,3004.90.00,Dermatological agents,-
2005,3004.90.00.78,3004.90.00,Containing hyaluronic acid or its sodium salt,-
2005,3004.90.00.79,3004.90.00,Other,-
2005,3004.90.00.81,3004.90.00,Anaesthetics,-
2005,3004.90.00.89,3004.90.00,Other,-
2005,3005.10.00.10,3005.10.00,Coated or impregnated with pharmaceutical substances,-
2005,3005.10.00.91,3005.10.00,Adhesive dressings,-
2005,3005.10.00.99,3005.10.00,Other,-
2005,3005.90.00.10,3005.90.00,"Bandages and slabs of textile fabric specially coated with plaster of Paris compound; other articles specially designed for use as, or for use in the making of orthopaedic casts",-
2005,3005.90.00.20,3005.90.00,Coated or impregnated with pharmaceutical substances,-
2005,3005.90.00.30,3005.90.00,"Surgical dressings, not stitched or otherwise manufactured, not coated or impregnated with pharmaceutical substances",-
2005,3005.90.00.40,3005.90.00,"Other, of woven fabrics other than woven fabrics solely of cotton; of knitted fabrics, nonwovens or felts",-
2005,3005.90.00.50,3005.90.00,"Other, of woven fabrics solely of cotton",-
2005,3005.90.00.60,3005.90.00,"Other, of paper",-
2005,3005.90.00.90,3005.90.00,Other,-
2005,3006.10.00.10,3006.10.00,Sterile surgical catgut and similar sterile suture materials for surgical woundclosure,-
2005,3006.10.00.90,3006.10.00,Other,-
2005,3006.20.00.10,3006.20.00,Of human origin,-
2005,3006.20.00.20,3006.20.00,Of animal origin,-
2005,3006.20.00.90,3006.20.00,Of other origin,-
2005,3006.30.00.10,3006.30.00,Opacifying preparations for X-ray examinations,-
2005,3006.30.00.20,3006.30.00,Allergenics prepared for parenteral administration,-
2005,3006.30.00.90,3006.30.00,Other,-
2005,3006.40.00.10,3006.40.00,Dental cements and bone reconstruction cements,-
2005,3006.40.00.20,3006.40.00,Points for filling dental root canals,-
2005,3006.40.00.30,3006.40.00,"Dental fillings of composition metals, excluding those in powder or pellet form",-
2005,3006.40.00.90,3006.40.00,Other dental fillings,-
2005,3006.50.00.00,3006.50.00,First-aid boxes and kits,-
2005,3006.60.00.11,3006.60.00,Containing norethesterone acetate and ethinylestradiol,-
2005,3006.60.00.19,3006.60.00,Other,-
2005,3006.60.00.90,3006.60.00,Other than in measured doses,-
2005,3006.70.10.00,3006.70.10,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen",-
2005,3006.70.90.00,3006.70.90,Other,-
2005,3006.80.11.00,3006.80.11,"Chemical or biological preparations, including kits containing ancillary articles or materials, for medical diagnosis; To be employed in the insemination of animal semen",-
2005,3006.80.19.00,3006.80.19,Other,-
2005,3006.80.90.10,3006.80.90,Of the goods of heading 30.01,-
2005,3006.80.90.20,3006.80.90,Of the goods of heading 30.02,-
2005,3006.80.90.30,3006.80.90,Of the goods of heading 30.03,-
2005,3006.80.90.41,3006.80.90,Of the goods of subheadings 3004.10 to 3004.39,-
2005,3006.80.90.42,3006.80.90,Of the goods of subheadings 3004.40 or 3004.50,-
2005,3006.80.90.43,3006.80.90,Of the goods of subheading 3004.90,-
2005,3006.80.90.50,3006.80.90,Of the goods of heading 30.05,-
2005,3006.80.90.60,3006.80.90,Of the goods of heading 30.06,-
2006,3001.10.00.10,3001.10.00,Animal glands,KGM
2006,3001.10.00.90,3001.10.00,Other,KGM
2006,3001.20.00.00,3001.20.00,Extracts of glands or other organs or of their secretions,KGM
2006,3001.90.00.10,3001.90.00,Heparin and its salts,KGM
2006,3001.90.00.20,3001.90.00,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM
2006,3001.90.00.90,3001.90.00,Other,KGM
2006,3002.10.00.10,3002.10.00,"Human antisera and other human blood fractions, for diagnostic use",KGM
