uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
IMR-3002100029-199801,"3002.10.00.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 2016-12)",IM-3002101022-198801,1,3002.10.00.29,"Antisera & other blood fractions, human origin, therapeutic/prophylactic use in humans,not elsewhere specified",1998-01,2016-12,succeeded,3002.12.00.19,1998-01,2016-12
IMR-3002100029-199801,"3002.10.00.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 2016-12)",IM-3002101022-198801,2,3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",1998-01,2016-12,active,,2017-01,2026-06
IMR-3002100030-199801,"3002.10.00.30 - Antisera & o blood fractions, of human origin, for other uses (Terminated 2016-12)",IM-3002101022-198801,1,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",1998-01,2001-12,succeeded,3002.12.00.19,1998-01,2016-12
IMR-3002100030-199801,"3002.10.00.30 - Antisera & o blood fractions, of human origin, for other uses (Terminated 2016-12)",IM-3002101022-198801,2,3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",1998-01,2001-12,active,,2017-01,2026-06
IMR-3002100030-200201,"3002.10.00.30 - Antisera and other blood fractions, of human origin, for other uses (Terminated 2016-12)",IM-3002101022-198801,1,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",2002-01,2016-12,succeeded,3002.12.00.19,2002-01,2016-12
IMR-3002100030-200201,"3002.10.00.30 - Antisera and other blood fractions, of human origin, for other uses (Terminated 2016-12)",IM-3002101022-198801,2,3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",2002-01,2016-12,active,,2017-01,2026-06
IMR-3002100041-199801,"3002.10.00.41 - Bovine albumin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,1,3002.10.00.41,"Bovine albumin, for parenteral administration in humans",1998-01,2016-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002100041-199801,"3002.10.00.41 - Bovine albumin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1998-01,2016-12,active,,2017-01,2026-06
IMR-3002100042-199801,"3002.10.00.42 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,1,3002.10.00.42,"Sera and antisera, of animal origin, for parenteral administration in humans",1998-01,2016-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002100042-199801,"3002.10.00.42 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1998-01,2016-12,active,,2017-01,2026-06
IMR-3002100049-199801,"3002.10.00.49 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,1,3002.10.00.49,"Blood albumin, not elsewhere specified, of animal origin, for parenteral administration in humans",1998-01,2001-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002100049-199801,"3002.10.00.49 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1998-01,2001-12,active,,2017-01,2026-06
IMR-3002100049-200201,"3002.10.00.49 - Blood albumin, nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,1,3002.10.00.49,"Blood albumin, not elsewhere specified, of animal origin, for parenteral administration in humans",2002-01,2016-12,succeeded,3002.12.00.21,2002-01,2016-12
IMR-3002100049-200201,"3002.10.00.49 - Blood albumin, nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",IM-3002102110-198801,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",2002-01,2016-12,active,,2017-01,2026-06
IMR-3002100051-199801,"3002.10.00.51 - Blood fractions, nes, for use in humans (Terminated 2016-12)",IM-3002102110-198801,1,3002.10.00.51,"Blood fractions, not elsewhere specified, for use in humans",1998-01,2016-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002100051-199801,"3002.10.00.51 - Blood fractions, nes, for use in humans (Terminated 2016-12)",IM-3002102110-198801,2,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1998-01,2016-12,active,,2017-01,2026-06
IMR-3002100059-199801,"3002.10.00.59 - Blood fractions, nes (Terminated 2016-12)",IM-3002102920-198801,1,3002.10.00.59,"Blood fractions, not elsewhere specified",1998-01,2016-12,succeeded,3002.12.00.29,1998-01,2016-12
IMR-3002100059-199801,"3002.10.00.59 - Blood fractions, nes (Terminated 2016-12)",IM-3002102920-198801,2,3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",1998-01,2016-12,active,,2017-01,2026-06
IMR-3002100060-200302,3002.10.00.60 - Modified immunological products (Terminated 2011-12),IM-3002901020-198801,1,3002.10.00.60,Modified immunological products,2003-02,2011-12,succeeded,3002.10.00.90,2003-02,2011-12
IMR-3002100060-200302,3002.10.00.60 - Modified immunological products (Terminated 2011-12),IM-3002901020-198801,2,3002.10.00.90,"Antisera,other blood fractions,immunological prod,whether or not mod/obtained biotechnological process,not elsewhere specified",2003-02,2011-12,succeeded,3002.19.00.00,2012-01,2016-12
IMR-3002100060-200302,3002.10.00.60 - Modified immunological products (Terminated 2011-12),IM-3002901020-198801,3,3002.19.00.00,"Immunological products, not elsewhere specified, whether or not modified/obtained by biotechnological processes",2003-02,2011-12,succeeded,3002.90.00.90,2017-01,2021-12
IMR-3002100060-200302,3002.10.00.60 - Modified immunological products (Terminated 2011-12),IM-3002901020-198801,4,3002.90.00.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",2003-02,2011-12,active,,2022-01,2026-06
IMR-3002100090-201201,"3002.10.00.90 - Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes (Terminated 2016-12)",IM-3002901020-198801,1,3002.10.00.90,"Antisera,other blood fractions,immunological prod,whether or not mod/obtained biotechnological process,not elsewhere specified",2012-01,2016-12,succeeded,3002.19.00.00,2012-01,2016-12
IMR-3002100090-201201,"3002.10.00.90 - Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes (Terminated 2016-12)",IM-3002901020-198801,2,3002.19.00.00,"Immunological products, not elsewhere specified, whether or not modified/obtained by biotechnological processes",2012-01,2016-12,succeeded,3002.90.00.90,2017-01,2021-12
IMR-3002100090-201201,"3002.10.00.90 - Antisera,o blood fract,immunological prod,w/n mod/obt biotechnological proc,nes (Terminated 2016-12)",IM-3002901020-198801,3,3002.90.00.90,"Human blood;animal blood therapeutic/diagnostic,etc;antisera,etc;vaccines,etc;cell culture,not elsewhere specified",2012-01,2016-12,active,,2022-01,2026-06
IMR-3002101010-198801,"3002.10.10.10 - Antisera & o blood fractions, human origin, for diagnostic use (Terminated 1997-12)",IM-3002101010-198801,1,3002.10.10.10,"Antisera & other blood fractions, human origin, for diagnostic use",1988-01,1997-12,succeeded,3002.10.00.10,1988-01,1997-12
IMR-3002101010-198801,"3002.10.10.10 - Antisera & o blood fractions, human origin, for diagnostic use (Terminated 1997-12)",IM-3002101010-198801,2,3002.10.00.10,"Antisera & other blood fractions, human origin, for diagnostic use",1988-01,1997-12,succeeded,3002.12.00.11,1998-01,2016-12
IMR-3002101010-198801,"3002.10.10.10 - Antisera & o blood fractions, human origin, for diagnostic use (Terminated 1997-12)",IM-3002101010-198801,3,3002.12.00.11,"Human antisera and other human blood fractions, for diagnostic use",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002101021-198801,"3002.10.10.21 - Blood plasma, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101021-198801,1,3002.10.10.21,"Blood plasma, for therapeutic or prophylactic use in humans",1988-01,1997-12,succeeded,3002.10.00.21,1988-01,1997-12
IMR-3002101021-198801,"3002.10.10.21 - Blood plasma, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101021-198801,2,3002.10.00.21,"Blood plasma, for therapeutic or prophylactic use in humans",1988-01,1997-12,succeeded,3002.12.00.12,1998-01,2016-12
IMR-3002101021-198801,"3002.10.10.21 - Blood plasma, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101021-198801,3,3002.12.00.12,"Human blood plasma, for therapeutic/prophylactic/other uses",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002101022-198801,"3002.10.10.22 - Normal serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101022-198801,1,3002.10.10.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",1988-01,1997-12,succeeded,3002.10.00.22,1988-01,1997-12
IMR-3002101022-198801,"3002.10.10.22 - Normal serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101022-198801,2,3002.10.00.22,"Normal serum globulin, for therapeutic or prophylactic use in humans",1988-01,1997-12,succeeded,3002.12.00.19,1998-01,2016-12
IMR-3002101022-198801,"3002.10.10.22 - Normal serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101022-198801,3,3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002101023-199001,"3002.10.10.23 - Immune serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101023-199001,1,3002.10.10.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",1990-01,1997-12,succeeded,3002.10.00.23,1990-01,1997-12
IMR-3002101023-199001,"3002.10.10.23 - Immune serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101023-199001,2,3002.10.00.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",1990-01,1997-12,succeeded,3002.12.00.13,1998-01,2016-12
IMR-3002101023-199001,"3002.10.10.23 - Immune serum globulin, for therapeutic or prophylactic use in humans (Terminated 1997-12)",IM-3002101023-199001,3,3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",1990-01,1997-12,active,,2017-01,2026-06
IMR-3002101029-198801,"3002.10.10.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 1997-12)",IM-3002101022-198801,1,3002.10.10.29,"Antisera & other blood fractions, human origin, therapeutic/prophylactic use in humans,not elsewhere specified",1988-01,1997-12,succeeded,3002.10.00.29,1988-01,1997-12
IMR-3002101029-198801,"3002.10.10.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 1997-12)",IM-3002101022-198801,2,3002.10.00.29,"Antisera & other blood fractions, human origin, therapeutic/prophylactic use in humans,not elsewhere specified",1988-01,1997-12,succeeded,3002.12.00.19,1998-01,2016-12
IMR-3002101029-198801,"3002.10.10.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 1997-12)",IM-3002101022-198801,3,3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002101090-198801,"3002.10.10.90 - Antisera & o blood fractions, of human origin, for other uses (Terminated 1997-12)",IM-3002101022-198801,1,3002.10.10.90,"Antisera & other blood fractions, of human origin, for other uses",1988-01,1997-12,succeeded,3002.10.00.30,1988-01,1997-12
IMR-3002101090-198801,"3002.10.10.90 - Antisera & o blood fractions, of human origin, for other uses (Terminated 1997-12)",IM-3002101022-198801,2,3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",1988-01,1997-12,succeeded,3002.12.00.19,1998-01,2016-12
IMR-3002101090-198801,"3002.10.10.90 - Antisera & o blood fractions, of human origin, for other uses (Terminated 1997-12)",IM-3002101022-198801,3,3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002102110-198801,"3002.10.21.10 - Bovine albumin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,1,3002.10.21.10,"Bovine albumin, for parenteral administration in humans",1988-01,1997-12,succeeded,3002.10.00.41,1988-01,1997-12
IMR-3002102110-198801,"3002.10.21.10 - Bovine albumin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,2,3002.10.00.41,"Bovine albumin, for parenteral administration in humans",1988-01,1997-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002102110-198801,"3002.10.21.10 - Bovine albumin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,3,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002102120-198801,"3002.10.21.20 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,1,3002.10.21.20,"Sera and antisera, of animal origin, for parenteral administration in humans",1988-01,1997-12,succeeded,3002.10.00.42,1988-01,1997-12
IMR-3002102120-198801,"3002.10.21.20 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,2,3002.10.00.42,"Sera and antisera, of animal origin, for parenteral administration in humans",1988-01,1997-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002102120-198801,"3002.10.21.20 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,3,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002102190-198801,"3002.10.21.90 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,1,3002.10.21.90,"Blood albumin not elsewhere specified, of animal origin, for parenteral administration in humans",1988-01,1997-12,succeeded,3002.10.00.49,1988-01,1997-12
IMR-3002102190-198801,"3002.10.21.90 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,2,3002.10.00.49,"Blood albumin, not elsewhere specified, of animal origin, for parenteral administration in humans",1988-01,1997-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002102190-198801,"3002.10.21.90 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 1997-12)",IM-3002102110-198801,3,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002102910-198801,"3002.10.29.10 - Blood fractions, nes, for use in humans (Terminated 1997-12)",IM-3002102110-198801,1,3002.10.29.10,"Blood fractions, not elsewhere specified, for use in humans",1988-01,1997-12,succeeded,3002.10.00.51,1988-01,1997-12
IMR-3002102910-198801,"3002.10.29.10 - Blood fractions, nes, for use in humans (Terminated 1997-12)",IM-3002102110-198801,2,3002.10.00.51,"Blood fractions, not elsewhere specified, for use in humans",1988-01,1997-12,succeeded,3002.12.00.21,1998-01,2016-12
IMR-3002102910-198801,"3002.10.29.10 - Blood fractions, nes, for use in humans (Terminated 1997-12)",IM-3002102110-198801,3,3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002102920-198801,"3002.10.29.20 - Blood fractions, nes, for use in animals (Terminated 1991-06)",IM-3002102920-198801,1,3002.10.29.20,"Blood fractions, not elsewhere specified, for use in animals",1988-01,1991-04,succeeded,3002.10.29.90,1988-01,1991-04
IMR-3002102920-198801,"3002.10.29.20 - Blood fractions, nes, for use in animals (Terminated 1991-06)",IM-3002102920-198801,2,3002.10.29.90,"Blood fractions, not elsewhere specified",1988-01,1991-04,succeeded,3002.10.00.59,1988-01,1997-12
IMR-3002102920-198801,"3002.10.29.20 - Blood fractions, nes, for use in animals (Terminated 1991-06)",IM-3002102920-198801,3,3002.10.00.59,"Blood fractions, not elsewhere specified",1988-01,1991-04,succeeded,3002.12.00.29,1998-01,2016-12
IMR-3002102920-198801,"3002.10.29.20 - Blood fractions, nes, for use in animals (Terminated 1991-06)",IM-3002102920-198801,4,3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",1988-01,1991-04,active,,2017-01,2026-06
IMR-3002102990-198801,"3002.10.29.90 - Blood fractions, nes (Terminated 1997-12)",IM-3002102920-198801,1,3002.10.29.90,"Blood fractions, not elsewhere specified",1988-01,1997-12,succeeded,3002.10.00.59,1988-01,1997-12
IMR-3002102990-198801,"3002.10.29.90 - Blood fractions, nes (Terminated 1997-12)",IM-3002102920-198801,2,3002.10.00.59,"Blood fractions, not elsewhere specified",1988-01,1997-12,succeeded,3002.12.00.29,1998-01,2016-12
IMR-3002102990-198801,"3002.10.29.90 - Blood fractions, nes (Terminated 1997-12)",IM-3002102920-198801,3,3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",1988-01,1997-12,active,,2017-01,2026-06
IMR-3002110000-201701,3002.11.00.00 - Malaria diagnostic test kits (Terminated 2021-12),IM-3002110000-201701,1,3002.11.00.00,Malaria diagnostic test kits,2017-01,2021-12,left_chapter,,2017-01,2021-12
