uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
EXR-30023090-199601,"3002.30.90 - Vaccines, veterinary use, nes (Terminated 2016-12)",EX-30023100-198801,1,3002.30.90,"Vaccines, veterinary use, not elsewhere specified",1996-01,2016-12,succeeded,3002.30.00,1996-01,2016-12
EXR-30023090-199601,"3002.30.90 - Vaccines, veterinary use, nes (Terminated 2016-12)",EX-30023100-198801,2,3002.30.00,"Vaccines, for veterinary medecine",1996-01,2016-12,succeeded,3002.42.00,2017-01,2021-12
EXR-30023090-199601,"3002.30.90 - Vaccines, veterinary use, nes (Terminated 2016-12)",EX-30023100-198801,3,3002.42.00,"Vaccines, for veterinary medecine",1996-01,2016-12,active,,2022-01,2026-06
EXR-30023100-198801,"3002.31.00 - Vaccines against foot or mouth disease, veterinary use (Terminated 1995-12)",EX-30023100-198801,1,3002.31.00,"Vaccines against foot or mouth disease, veterinary use",1988-01,1995-12,succeeded,3002.30.10,1988-01,1995-12
EXR-30023100-198801,"3002.31.00 - Vaccines against foot or mouth disease, veterinary use (Terminated 1995-12)",EX-30023100-198801,2,3002.30.10,"Vaccines against foot or mouth disease, veterinary use",1988-01,1995-12,succeeded,3002.30.00,1996-02,2016-06
EXR-30023100-198801,"3002.31.00 - Vaccines against foot or mouth disease, veterinary use (Terminated 1995-12)",EX-30023100-198801,3,3002.30.00,"Vaccines, for veterinary medecine",1988-01,1995-12,succeeded,3002.42.00,2017-01,2021-12
EXR-30023100-198801,"3002.31.00 - Vaccines against foot or mouth disease, veterinary use (Terminated 1995-12)",EX-30023100-198801,4,3002.42.00,"Vaccines, for veterinary medecine",1988-01,1995-12,active,,2022-01,2026-06
EXR-30023900-198801,"3002.39.00 - Vaccines, veterinary use, nes (Terminated 1995-12)",EX-30023100-198801,1,3002.39.00,"Vaccines, veterinary use, not elsewhere specified",1988-01,1995-12,succeeded,3002.30.90,1988-01,1995-12
EXR-30023900-198801,"3002.39.00 - Vaccines, veterinary use, nes (Terminated 1995-12)",EX-30023100-198801,2,3002.30.90,"Vaccines, veterinary use, not elsewhere specified",1988-01,1995-12,succeeded,3002.30.00,1996-01,2016-12
EXR-30023900-198801,"3002.39.00 - Vaccines, veterinary use, nes (Terminated 1995-12)",EX-30023100-198801,3,3002.30.00,"Vaccines, for veterinary medecine",1988-01,1995-12,succeeded,3002.42.00,2017-01,2021-12
