uid,orig_commodity,family_id,step_number,hs_code,description,orig_first_period,orig_last_period,step_status,next_hs_code,step_first_period,step_last_period
EXR-30043920-198801,"3004.39.20 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use (Terminated 1988-12)",EX-30043910-198801,1,3004.39.20,"Hormones not elsewhere specified, not containing antibiotics, in dosage,other than contraceptive,veterinary use",1988-01,1988-12,succeeded,3004.39.00,1988-01,1988-12
EXR-30043920-198801,"3004.39.20 - Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use (Terminated 1988-12)",EX-30043910-198801,2,3004.39.00,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,for retail sale",1988-01,1988-12,active,,1989-01,2026-06
EXR-30044000-198801,"3004.40.00 - Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage (Terminated 2016-12)",EX-30044000-198801,1,3004.40.00,"Alkaloids or their derivatives, not cntg antibiotics or hormones, in dosage",1988-01,2016-12,succeeded,3004.49.00,1988-01,2016-12
EXR-30044000-198801,"3004.40.00 - Alkaloids or their derivs, not cntg antibiotics or hormones, in dosage (Terminated 2016-12)",EX-30044000-198801,2,3004.49.00,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,therapeutic/prophylactic,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,2016-12,active,,2017-01,2026-06
EXR-30044100-201701,"3004.41.00 - Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",EX-30044100-201701,1,3004.41.00,"Medicaments,containing ephedrin/salts,therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-05,not_a_retirement,,2017-01,2026-05
EXR-30044200-201701,"3004.42.00 - Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",EX-30044200-201701,1,3004.42.00,"Medicaments,containing pseudoephedrine/salts,therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-06,active,,2017-01,2026-06
EXR-30044300-201703,"3004.43.00 - Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",EX-30044300-201703,1,3004.43.00,"Medicaments,containing norephedrine/salts,therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-03,2022-03,not_a_retirement,,2017-03,2022-03
EXR-30044900-201701,"3004.49.00 - Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",EX-30044000-198801,1,3004.49.00,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,therapeutic/prophylactic,doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-06,active,,2017-01,2026-06
EXR-30045000-198901,"3004.50.00 - Vitamins and their derivatives,in dosage",EX-30045010-198801,1,3004.50.00,"Medicaments,containing vitamins/provitamins/derivative,in doses/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",1989-01,2001-12,active,,1989-01,2026-06
EXR-30045000-200201,"3004.50.00 - Medicaments,cont vitamins/provitamins/deriv,in doses/pack/frs,o/t No 30.02/05/06",EX-30045010-198801,1,3004.50.00,"Medicaments,containing vitamins/provitamins/derivative,in doses/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",2002-01,2026-06,active,,2002-01,2026-06
EXR-30045010-198801,"3004.50.10 - Vitamins and their derivatives,in dosage for human use (Terminated 1988-12)",EX-30045010-198801,1,3004.50.10,"Vitamins and their derivatives,in dosage for human use",1988-01,1988-12,succeeded,3004.50.00,1988-01,1988-12
EXR-30045010-198801,"3004.50.10 - Vitamins and their derivatives,in dosage for human use (Terminated 1988-12)",EX-30045010-198801,2,3004.50.00,"Medicaments,containing vitamins/provitamins/derivative,in doses/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,active,,1989-01,2026-06
EXR-30045020-198801,"3004.50.20 - Vitamins and their derivatives,in dosage for veterinary use (Terminated 1988-12)",EX-30045010-198801,1,3004.50.20,"Vitamins and their derivatives,in dosage for veterinary use",1988-01,1988-12,succeeded,3004.50.00,1988-01,1988-12
EXR-30045020-198801,"3004.50.20 - Vitamins and their derivatives,in dosage for veterinary use (Terminated 1988-12)",EX-30045010-198801,2,3004.50.00,"Medicaments,containing vitamins/provitamins/derivative,in doses/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,active,,1989-01,2026-06
EXR-30046000-201701,"3004.60.00 - Medicaments,cont antimalarial active principles,in doses/frs,o/t No 30.02/05/06",EX-30046000-201701,1,3004.60.00,"Medicaments,containing antimalarial active principles,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-06,active,,2017-01,2026-06
EXR-30049000-198901,"3004.90.00 - Medicaments nes, in dosage (Terminated 2017-12)",EX-30049010-198801,1,3004.90.00,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",1989-01,2016-12,succeeded,3004.90.90,1989-01,2017-12
EXR-30049000-198901,"3004.90.00 - Medicaments nes, in dosage (Terminated 2017-12)",EX-30049010-198801,2,3004.90.90,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",1989-01,2016-12,active,,2018-01,2026-06
EXR-30049000-201701,"3004.90.00 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06 (Terminated 2017-12)",EX-30049010-198801,1,3004.90.00,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2017-12,succeeded,3004.90.90,2017-01,2017-12
EXR-30049000-201701,"3004.90.00 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06 (Terminated 2017-12)",EX-30049010-198801,2,3004.90.90,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2017-12,active,,2018-01,2026-06
EXR-30049010-198801,"3004.90.10 - Medicaments nes, in dosage, for human use",EX-30049010-198801,1,3004.90.10,"Medicaments not elsewhere specified, in dosage, for human use",1988-01,1988-12,succeeded,3004.90.00,1988-01,1988-12
EXR-30049010-198801,"3004.90.10 - Medicaments nes, in dosage, for human use",EX-30049010-198801,2,3004.90.00,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,succeeded,3004.90.90,1989-01,2017-12
EXR-30049010-198801,"3004.90.10 - Medicaments nes, in dosage, for human use",EX-30049010-198801,3,3004.90.90,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,active,,2018-01,2026-06
EXR-30049010-201802,"3004.90.10 - Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",EX-30049010-201802,1,3004.90.10,"Medicaments containing cannabis/cannabinoids, therapeutic/prophylactic uses, doses/pack for retail sale",2018-02,2026-06,active,,2018-02,2026-06
EXR-30049020-198801,"3004.90.20 - Medicaments nes, in dosage, for veterinary use (Terminated 1988-12)",EX-30049010-198801,1,3004.90.20,"Medicaments not elsewhere specified, in dosage, for veterinary use",1988-01,1988-12,succeeded,3004.90.00,1988-01,1988-12
EXR-30049020-198801,"3004.90.20 - Medicaments nes, in dosage, for veterinary use (Terminated 1988-12)",EX-30049010-198801,2,3004.90.00,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,succeeded,3004.90.90,1989-01,2017-12
EXR-30049020-198801,"3004.90.20 - Medicaments nes, in dosage, for veterinary use (Terminated 1988-12)",EX-30049010-198801,3,3004.90.90,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",1988-01,1988-12,active,,2018-01,2026-06
EXR-30049090-201801,"3004.90.90 - Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",EX-30049010-198801,1,3004.90.90,"Medicaments,not elsewhere specified,therapeutic/prophylactic uses,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",2018-01,2026-06,active,,2018-01,2026-06
EXR-30051000-198801,3005.10.00 - Dressings and other articles having an adhesive layer,EX-30051000-198801,1,3005.10.00,Dressings and other articles having an adhesive layer,1988-01,2026-06,active,,1988-01,2026-06
EXR-30059000-198801,"3005.90.00 - Dressings & similar articles,impreg or coated or packaged for med use, nes",EX-30059000-198801,1,3005.90.00,"Dressings & similar articles,impregnated or coated or packaged for Medicaments use, not elsewhere specified",1988-01,2026-06,active,,1988-01,2026-06
EXR-30061000-198801,"3006.10.00 - Suture materials,sterile;laminaria, sterie;haemostatics,sterile,surg or dental",EX-30061000-198801,1,3006.10.00,"Sterile suture material;sterile laminaria;sterile absorbable haemostatics;surgical/dental,etc",1988-01,2001-06,active,,1988-01,2026-06
EXR-30061000-200201,"3006.10.00 - Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",EX-30061000-198801,1,3006.10.00,"Sterile suture material;sterile laminaria;sterile absorbable haemostatics;surgical/dental,etc",2002-01,2026-06,active,,2002-01,2026-06
EXR-30062000-198801,3006.20.00 - Blood-grouping reagents (Terminated 2021-12),EX-30062000-198801,1,3006.20.00,Blood-grouping reagents,1988-01,2021-12,left_chapter,,1988-01,2021-12
EXR-30063000-198801,"3006.30.00 - Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",EX-30063000-198801,1,3006.30.00,"Opacifying preparation, x-ray; diagnostic reagents, designed for administration to patients",1988-01,2026-06,active,,1988-01,2026-06
EXR-30064000-198801,3006.40.00 - Dental cements & other dental fillings; bone reconstruction cements,EX-30064000-198801,1,3006.40.00,Dental cements & other dental fillings; bone reconstruction cements,1988-01,2026-06,active,,1988-01,2026-06
EXR-30065000-198801,3006.50.00 - First-aid boxes and kits,EX-30065000-198801,1,3006.50.00,First-aid boxes and kits,1988-01,2026-06,active,,1988-01,2026-06
EXR-30066000-198801,"3006.60.00 - Contraceptive prep based on hormones, on other prod of No 29.37 or spermicides",EX-30066000-198801,1,3006.60.00,"Chem contraceptive preparations,based on hormones/other prod of No 29.37/spermicides",1988-01,2001-12,active,,1988-01,2026-06
EXR-30066000-200201,"3006.60.00 - Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",EX-30066000-198801,1,3006.60.00,"Chem contraceptive preparations,based on hormones/other prod of No 29.37/spermicides",2002-01,2026-06,active,,2002-01,2026-06
EXR-30067000-200205,"3006.70.00 - Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",EX-30067000-200205,1,3006.70.00,"Gel preparation for human/veterinary medicine as lub for parts of body for oper/examination,etc",2002-05,2026-06,active,,2002-05,2026-06
EXR-30068000-200209,3006.80.00 - Waste pharmaceuticals (Terminated 2006-12),EX-30068000-200209,1,3006.80.00,Waste pharmaceuticals,2002-09,2006-12,succeeded,3006.92.00,2002-09,2006-12
EXR-30068000-200209,3006.80.00 - Waste pharmaceuticals (Terminated 2006-12),EX-30068000-200209,2,3006.92.00,"Waste pharmaceuticals, not elsewhere specified",2002-09,2006-12,active,,2007-03,2026-06
EXR-30069100-200702,3006.91.00 - Appliances identifiable for ostomy use,EX-30069100-200702,1,3006.91.00,Appliances identifiable for ostomy use,2007-02,2026-06,active,,2007-02,2026-06
EXR-30069200-200703,"3006.92.00 - Waste pharmaceuticals, nes",EX-30068000-200209,1,3006.92.00,"Waste pharmaceuticals, not elsewhere specified",2007-03,2026-06,active,,2007-03,2026-06
EXR-30069300-202201,"3006.93.00 - Placebos,blinded or double blinded clinical trial kits, put up in measured doses",EX-30069300-202201,1,3006.93.00,"Placebos,blinded or double blinded clinical trial kits, put up in measured doses",2022-01,2026-06,active,,2022-01,2026-06
