uid,orig_hs_code,family_id,resolution_source,resolution_detail,official_adjudicated,official_agrees,boundary_crossed,confidence_tier,departure_from_official
IMR-3002909090-198801,3002.90.90.90,IM-3002901020-198801,analyst,the analyst accepted the proposal | the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3003100000-198801,3003.10.00.00,IM-3003100000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3003100000-200201,3003.10.00.00,IM-3003100000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3003200000-198801,3003.20.00.00,IM-3003200000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3003200000-200201,3003.20.00.00,IM-3003200000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3003310000-201201,3003.31.00.00,IM-3003319900-198801,delivery,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",no,,no,no_termination_declared,
IMR-3003310010-199802,3003.31.00.10,IM-3003319900-198801,delivery;official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012 | the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",yes,yes,yes,decided;no_termination_declared,
IMR-3003310090-199801,3003.31.00.90,IM-3003319900-198801,delivery;official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012 | the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",yes,yes,yes,decided;no_termination_declared,
IMR-3003311000-198803,3003.31.10.00,IM-3003319900-198801,analyst;delivery;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012 | the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",yes,yes,yes,approve;decided;no_termination_declared,
IMR-3003319100-198802,3003.31.91.00,IM-3003319900-198801,analyst;delivery;official_record,"the analyst accepted the proposal | the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012 | the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",yes,yes,yes,approve;decided;no_termination_declared,
IMR-3003319900-198801,3003.31.99.00,IM-3003319900-198801,analyst;delivery;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012 | the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",yes,yes,yes,approve;decided;no_termination_declared,
IMR-3003390000-201201,3003.39.00.00,IM-3003391000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3003390010-199801,3003.39.00.10,IM-3003391000-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003390010-200201,3003.39.00.10,IM-3003391000-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003390090-199801,3003.39.00.90,IM-3003391000-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003391000-198801,3003.39.10.00,IM-3003391000-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
