uid,orig_commodity,orig_hs_code,orig_description,orig_first_period,orig_last_period,family_id,latest_commodity,latest_hs_code,latest_description,latest_status,v1_uid,v1_family_id
IMR-3002100023-199801,"3002.10.00.23 - Immune serum globulin, for therapeutic or prophylactic use in humans (Terminated 2016-12)",3002.10.00.23,"Immune serum globulin, for therapeutic or prophylactic use in humans",1998-01,2016-12,IM-3002101023-199001,"3002.12.00.13 - Human immune globulin, for therapeutic/prophylactic/other uses",3002.12.00.13,"Human immune globulin, for therapeutic/prophylactic/other uses",active,IMR_0014,IM_0009
IMR-3002100029-199801,"3002.10.00.29 - Antisera & o blood fract, human orig, therapeutic/prophylactic use in humans,nes (Terminated 2016-12)",3002.10.00.29,"Antisera & other blood fractions, human origin, therapeutic/prophylactic use in humans,not elsewhere specified",1998-01,2016-12,IM-3002101022-198801,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",active,IMR_0015,IM_0008
IMR-3002100030-199801,"3002.10.00.30 - Antisera & o blood fractions, of human origin, for other uses (Terminated 2016-12)",3002.10.00.30,"Antisera & other blood fractions, of human origin, for other uses",1998-01,2001-12,IM-3002101022-198801,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",active,IMR_0016,IM_0007
IMR-3002100030-200201,"3002.10.00.30 - Antisera and other blood fractions, of human origin, for other uses (Terminated 2016-12)",3002.10.00.30,"Antisera and other blood fractions, of human origin, for other uses",2002-01,2016-12,IM-3002101022-198801,"3002.12.00.19 - Human antisera and other human blood fractions, nes",3002.12.00.19,"Human antisera and other human blood fractions, not elsewhere specified",active,IMR_0017,IM_0007
IMR-3002100041-199801,"3002.10.00.41 - Bovine albumin, for parenteral administration in humans (Terminated 2016-12)",3002.10.00.41,"Bovine albumin, for parenteral administration in humans",1998-01,2016-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0018,IM_0013
IMR-3002100042-199801,"3002.10.00.42 - Sera and antisera, of animal origin, for parenteral administration in humans (Terminated 2016-12)",3002.10.00.42,"Sera and antisera, of animal origin, for parenteral administration in humans",1998-01,2016-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0019,IM_0013
IMR-3002100049-199801,"3002.10.00.49 - Blood albumin nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",3002.10.00.49,"Blood albumin not elsewhere specified, of animal origin, for parenteral administration in humans",1998-01,2001-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0020,IM_0013
IMR-3002100049-200201,"3002.10.00.49 - Blood albumin, nes, of animal origin, for parenteral administration in humans (Terminated 2016-12)",3002.10.00.49,"Blood albumin, not elsewhere specified, of animal origin, for parenteral administration in humans",2002-01,2016-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0021,IM_0013
IMR-3002100051-199801,"3002.10.00.51 - Blood fractions, nes, for use in humans (Terminated 2016-12)",3002.10.00.51,"Blood fractions, not elsewhere specified, for use in humans",1998-01,2016-12,IM-3002102110-198801,"3002.12.00.21 - Animal antisera and other animal blood fractions, for use in humans",3002.12.00.21,"Animal antisera and other animal blood fractions, for use in humans",active,IMR_0022,IM_0013
IMR-3002100059-199801,"3002.10.00.59 - Blood fractions, nes (Terminated 2016-12)",3002.10.00.59,"Blood fractions, not elsewhere specified",1998-01,2016-12,IM-3002102920-198801,"3002.12.00.29 - Animal antisera and other animal blood fractions, nes",3002.12.00.29,"Animal antisera and other animal blood fractions, not elsewhere specified",active,IMR_0023,IM_0017
