uid,orig_commodity,orig_hs_code,orig_description,orig_first_period,orig_last_period,family_id,latest_commodity,latest_hs_code,latest_description,latest_status,v1_uid,v1_family_id
IMR-3003900010-199801,"3003.90.00.10 - Fractioned soya oil emulsions, prepr for parenteral admin; mx of amino acids,etc (Terminated 2011-12)",3003.90.00.10,"Fractioned soya oil emulsions, prepared for parenteral administration; Mixtures of amino acids,etc",1998-01,2011-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0121,IM_0064
IMR-3003900020-199801,"3003.90.00.20 - Medicaments, nes, cont more than 23% of absolute ethyl alcohol by volume,in bulk (Terminated 2011-12)",3003.90.00.20,"Medicaments, not elsewhere specified, containing more than 23% of absolute ethyl alcohol by volume,in bulk",1998-01,2011-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0122,IM_0064
IMR-3003900030-201201,"3003.90.00.30 - Medicaments containing acetaminophen, in bulk",3003.90.00.30,"Medicaments containing acetaminophen, in bulk",2012-01,2016-12,IM-3003909910-199501,"3003.90.00.30 - Medicaments,cont acetaminophen,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003.90.00.30,"Medicaments,containing acetaminophen,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0123,IM_0076
IMR-3003900030-201701,"3003.90.00.30 - Medicaments,cont acetaminophen,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003.90.00.30,"Medicaments,containing acetaminophen,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-06,IM-3003909910-199501,"3003.90.00.30 - Medicaments,cont acetaminophen,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003.90.00.30,"Medicaments,containing acetaminophen,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0124,IM_0076
IMR-3003900090-201201,"3003.90.00.90 - Other medicaments, formulated, in bulk, nes",3003.90.00.90,"Other medicaments, formulated, in bulk, not elsewhere specified",2012-01,2016-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0126,IM_0064
IMR-3003900090-201701,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",2017-01,2026-06,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0125,IM_0064
IMR-3003900091-199801,"3003.90.00.91 - Medicaments containing acetaminophen, in bulk (Terminated 2011-12)",3003.90.00.91,"Medicaments containing acetaminophen, in bulk",1998-01,2011-12,IM-3003909910-199501,"3003.90.00.30 - Medicaments,cont acetaminophen,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003.90.00.30,"Medicaments,containing acetaminophen,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0127,IM_0076
IMR-3003900099-199801,"3003.90.00.99 - Medicaments nes, formulated, in bulk (Terminated 2011-12)",3003.90.00.99,"Medicaments not elsewhere specified, formulated, in bulk",1998-01,2001-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0128,IM_0064
IMR-3003900099-200201,"3003.90.00.99 - Medicaments, nes, formulated, in bulk (Terminated 2011-12)",3003.90.00.99,"Medicaments, not elsewhere specified, formulated, in bulk",2002-01,2011-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0129,IM_0064
IMR-3003901000-198801,"3003.90.10.00 - Fractioned soya oil emulsions, prepr for parenteral admin; mx of amino acids,etc (Terminated 1997-12)",3003.90.10.00,"Fractioned soya oil emulsions, prepared for parenteral administration; Mixtures of amino acids,etc",1988-01,1997-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0130,IM_0064
IMR-3003909100-198801,"3003.90.91.00 - Medicaments, nes, cont more than 23% of absolute ethyl alcohol by volume,in bulk (Terminated 1997-12)",3003.90.91.00,"Medicaments, not elsewhere specified, containing more than 23% of absolute ethyl alcohol by volume,in bulk",1988-01,1997-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0131,IM_0064
IMR-3003909900-198801,"3003.90.99.00 - Medicaments, nes, formulated, in bulk (Terminated 1994-12)",3003.90.99.00,"Medicaments, not elsewhere specified, formulated, in bulk",1988-01,1994-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0132,IM_0064
IMR-3003909910-199501,"3003.90.99.10 - Medicaments containing acetaminophen, in bulk (Terminated 1997-12)",3003.90.99.10,"Medicaments containing acetaminophen, in bulk",1995-01,1997-12,IM-3003909910-199501,"3003.90.00.30 - Medicaments,cont acetaminophen,mix,therap/prophltc uses,nfrs,o/t No 30.02/05/06",3003.90.00.30,"Medicaments,containing acetaminophen,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0133,IM_0076
IMR-3003909990-199501,"3003.90.99.90 - Medicaments nes, formulated, in bulk (Terminated 1997-12)",3003.90.99.90,"Medicaments not elsewhere specified, formulated, in bulk",1995-01,1997-12,IM-3003901000-198801,"3003.90.00.90 - Medicaments, nes,mix,therap/prophltc uses,not for retail sale,o/t No 30.02/05/06",3003.90.00.90,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",active,IMR_0134,IM_0064
IMR-3004100010-201201,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",2012-01,2026-06,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0135,IM_0079
IMR-3004100011-198801,"3004.10.00.11 - Penicillin G sodium for human use, in dosage (Terminated 2011-12)",3004.10.00.11,"Penicillin G sodium for human use, in dosage",1988-01,2001-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0136,IM_0079
IMR-3004100011-200208,"3004.10.00.11 - Penicillin G sodium, for human use, in dosage (Terminated 2011-12)",3004.10.00.11,"Penicillin G sodium, for human use, in dosage",2002-08,2011-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0137,IM_0079
IMR-3004100012-198801,"3004.10.00.12 - Penicillin G procaine for human use, in dosage (Terminated 2011-12)",3004.10.00.12,"Penicillin G procaine for human use, in dosage",1988-01,1991-02,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0138,IM_0079
IMR-3004100012-199208,"3004.10.00.12 - Penicillin V for human use, in dosage (Terminated 2011-12)",3004.10.00.12,"Penicillin V for human use, in dosage",1992-08,2001-05,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0139,IM_0079
IMR-3004100012-200304,"3004.10.00.12 - Penicillin V, for human use, in dosage (Terminated 2011-12)",3004.10.00.12,"Penicillin V, for human use, in dosage",2003-04,2011-11,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0140,IM_0079
IMR-3004100013-198801,"3004.10.00.13 - Penicillin V for human use, in dosage (Terminated 2011-12)",3004.10.00.13,"Penicillin V for human use, in dosage",1988-01,1991-10,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0143,IM_0079
IMR-3004100013-199201,"3004.10.00.13 - Amoxycillin for human use, in dosage (Terminated 2011-12)",3004.10.00.13,"Amoxycillin for human use, in dosage",1992-01,2001-11,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0141,IM_0079
IMR-3004100013-200201,"3004.10.00.13 - Amoxycillin, for human use, in dosage (Terminated 2011-12)",3004.10.00.13,"Amoxycillin, for human use, in dosage",2002-01,2011-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0142,IM_0079
IMR-3004100014-198801,"3004.10.00.14 - Amoxycillin for human use, in dosage (Terminated 1991-12)",3004.10.00.14,"Amoxycillin for human use, in dosage",1988-01,1991-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0144,IM_0079
IMR-3004100019-198801,"3004.10.00.19 - Penicillins or their derivs nes, for human use, in dosage (Terminated 2011-12)",3004.10.00.19,"Penicillins or their derivatives not elsewhere specified, for human use, in dosage",1988-01,2001-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0146,IM_0079
IMR-3004100019-200201,"3004.10.00.19 - Penicillins or their derivatives, nes, for human use, in dosage (Terminated 2011-12)",3004.10.00.19,"Penicillins or their derivatives, not elsewhere specified, for human use, in dosage",2002-01,2011-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0145,IM_0079
IMR-3004100020-198801,"3004.10.00.20 - Streptomycins or their derivs, for human use, in dosage (Terminated 2011-12)",3004.10.00.20,"Streptomycins or their derivatives, for human use, in dosage",1988-01,2001-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0148,IM_0079
IMR-3004100020-200201,"3004.10.00.20 - Streptomycins or their derivatives, for human use, in dosage (Terminated 2011-12)",3004.10.00.20,"Streptomycins or their derivatives, for human use, in dosage",2002-01,2011-12,IM-3004100011-198801,"3004.10.00.10 - Medicaments,cont penicillins/their derivatives, for human use, in doses/pack frs",3004.10.00.10,"Medicaments,containing penicillins/their derivatives, for human use, in doses/pack for retail sale",active,IMR_0147,IM_0079
IMR-3004100031-198801,"3004.10.00.31 - Penicillins or their derivs, for vet use, in dosage (Terminated 2011-12)",3004.10.00.31,"Penicillins or their derivatives, for veterinary use, in dosage",1988-01,2001-12,IM-3004100031-198801,"3004.10.00.90 - Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",3004.10.00.90,"Medicaments containing penicillins/streptomycins/derivative,for veterinary use,in doses/pack for retail sale,not elsewhere specified",active,IMR_0150,IM_0086
IMR-3004100031-200201,"3004.10.00.31 - Penicillins or their derivatives, for veterinary use, in dosage (Terminated 2011-12)",3004.10.00.31,"Penicillins or their derivatives, for veterinary use, in dosage",2002-01,2011-12,IM-3004100031-198801,"3004.10.00.90 - Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",3004.10.00.90,"Medicaments containing penicillins/streptomycins/derivative,for veterinary use,in doses/pack for retail sale,not elsewhere specified",active,IMR_0149,IM_0086
IMR-3004100032-198802,"3004.10.00.32 - Streptomycins or their derivs, for vet use, in dosage (Terminated 2011-12)",3004.10.00.32,"Streptomycins or their derivatives, for veterinary use, in dosage",1988-02,2001-12,IM-3004100031-198801,"3004.10.00.90 - Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",3004.10.00.90,"Medicaments containing penicillins/streptomycins/derivative,for veterinary use,in doses/pack for retail sale,not elsewhere specified",active,IMR_0152,IM_0086
IMR-3004100032-200201,"3004.10.00.32 - Streptomycins or their derivatives, for veterinary use, in dosage (Terminated 2011-12)",3004.10.00.32,"Streptomycins or their derivatives, for veterinary use, in dosage",2002-01,2011-12,IM-3004100031-198801,"3004.10.00.90 - Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",3004.10.00.90,"Medicaments containing penicillins/streptomycins/derivative,for veterinary use,in doses/pack for retail sale,not elsewhere specified",active,IMR_0151,IM_0086
IMR-3004100090-201201,"3004.10.00.90 - Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",3004.10.00.90,"Medicaments containing penicillins/streptomycins/derivative,for veterinary use,in doses/pack for retail sale,not elsewhere specified",2012-01,2026-06,IM-3004100031-198801,"3004.10.00.90 - Medi cont penicillins/streptomycins/deriv,f veterinary use,in doses/pack frs,nes",3004.10.00.90,"Medicaments containing penicillins/streptomycins/derivative,for veterinary use,in doses/pack for retail sale,not elsewhere specified",active,IMR_0153,IM_0086
IMR-3004200010-198801,"3004.20.00.10 - Tetracyclines or their derivs, for human use, in dosage (Terminated 2011-12)",3004.20.00.10,"Tetracyclines or their derivatives, for human use, in dosage",1988-01,2001-11,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0155,IM_0089
IMR-3004200010-200201,"3004.20.00.10 - Tetracyclines or their derivatives, for human use, in dosage (Terminated 2011-12)",3004.20.00.10,"Tetracyclines or their derivatives, for human use, in dosage",2002-01,2011-12,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0154,IM_0089
IMR-3004200011-201201,"3004.20.00.11 - Medicaments containing cephalosporins, for human use, in doses/packings frs",3004.20.00.11,"Medicaments containing cephalosporins, for human use, in doses/packings for retail sale",2012-01,2026-06,IM-3004200020-198801,"3004.20.00.11 - Medicaments containing cephalosporins, for human use, in doses/packings frs",3004.20.00.11,"Medicaments containing cephalosporins, for human use, in doses/packings for retail sale",active,IMR_0156,IM_0090
IMR-3004200012-201201,"3004.20.00.12 - Medicaments containing vancomycin, for human use, in doses/pack for retail sale",3004.20.00.12,"Medicaments containing vancomycin, for human use, in doses/pack for retail sale",2012-01,2026-06,IM-3004200063-198801,"3004.20.00.12 - Medicaments containing vancomycin, for human use, in doses/pack for retail sale",3004.20.00.12,"Medicaments containing vancomycin, for human use, in doses/pack for retail sale",active,IMR_0157,IM_0091
IMR-3004200013-201201,"3004.20.00.13 - Medicaments containing erythromycin, for human use,in doses/pack for retail sale",3004.20.00.13,"Medicaments containing erythromycin, for human use,in doses/pack for retail sale",2012-01,2026-06,IM-3004200031-198801,"3004.20.00.13 - Medicaments containing erythromycin, for human use,in doses/pack for retail sale",3004.20.00.13,"Medicaments containing erythromycin, for human use,in doses/pack for retail sale",active,IMR_0158,IM_0092
IMR-3004200018-201201,"3004.20.00.18 - Medicaments containing macrolide,o/t erythromycin,f human use,doses/pack frs,nes",3004.20.00.18,"Medicaments containing macrolide,other than erythromycin,for human use,doses/pack for retail sale,not elsewhere specified",2012-01,2026-06,IM-3004200039-198801,"3004.20.00.18 - Medicaments containing macrolide,o/t erythromycin,f human use,doses/pack frs,nes",3004.20.00.18,"Medicaments containing macrolide,other than erythromycin,for human use,doses/pack for retail sale,not elsewhere specified",active,IMR_0159,IM_0093
IMR-3004200019-201201,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",2012-01,2026-06,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0160,IM_0089
IMR-3004200020-198801,"3004.20.00.20 - Cephalosporins, for human use, in dosage (Terminated 2011-12)",3004.20.00.20,"Cephalosporins, for human use, in dosage",1988-01,2011-12,IM-3004200020-198801,"3004.20.00.11 - Medicaments containing cephalosporins, for human use, in doses/packings frs",3004.20.00.11,"Medicaments containing cephalosporins, for human use, in doses/packings for retail sale",active,IMR_0161,IM_0090
IMR-3004200031-198801,"3004.20.00.31 - Erythromycin, for human use, in dosage (Terminated 2011-12)",3004.20.00.31,"Erythromycin, for human use, in dosage",1988-01,2011-12,IM-3004200031-198801,"3004.20.00.13 - Medicaments containing erythromycin, for human use,in doses/pack for retail sale",3004.20.00.13,"Medicaments containing erythromycin, for human use,in doses/pack for retail sale",active,IMR_0162,IM_0092
IMR-3004200039-198801,"3004.20.00.39 - Macrolide antibiotics nes, for human use, in dosage (Terminated 2011-12)",3004.20.00.39,"Macrolide antibiotics not elsewhere specified, for human use, in dosage",1988-01,2001-12,IM-3004200039-198801,"3004.20.00.18 - Medicaments containing macrolide,o/t erythromycin,f human use,doses/pack frs,nes",3004.20.00.18,"Medicaments containing macrolide,other than erythromycin,for human use,doses/pack for retail sale,not elsewhere specified",active,IMR_0163,IM_0093
IMR-3004200039-200201,"3004.20.00.39 - Macrolide antibiotics, nes, for human use, in dosage (Terminated 2011-12)",3004.20.00.39,"Macrolide antibiotics, not elsewhere specified, for human use, in dosage",2002-01,2011-12,IM-3004200039-198801,"3004.20.00.18 - Medicaments containing macrolide,o/t erythromycin,f human use,doses/pack frs,nes",3004.20.00.18,"Medicaments containing macrolide,other than erythromycin,for human use,doses/pack for retail sale,not elsewhere specified",active,IMR_0164,IM_0093
IMR-3004200041-198801,"3004.20.00.41 - Gentamycins, for human use, in dosage (Terminated 2011-12)",3004.20.00.41,"Gentamycins, for human use, in dosage",1988-01,2011-12,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0165,IM_0089
IMR-3004200042-198910,"3004.20.00.42 - Kanamycins, for human use, in dosage (Terminated 1991-06)",3004.20.00.42,"Kanamycins, for human use, in dosage",1989-10,1990-07,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0166,IM_0089
IMR-3004200049-198801,"3004.20.00.49 - Aminoglycoside antibiotics, nes, for human use, in dosage (Terminated 2011-12)",3004.20.00.49,"Aminoglycoside antibiotics, not elsewhere specified, for human use, in dosage",1988-01,2011-12,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0167,IM_0089
IMR-3004200051-199003,"3004.20.00.51 - Bacitracin, for human use, in dosage (Terminated 2011-12)",3004.20.00.51,"Bacitracin, for human use, in dosage",1990-03,2011-12,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0168,IM_0089
IMR-3004200052-198801,"3004.20.00.52 - Polymyxins, for human use, in dosage (Terminated 1997-12)",3004.20.00.52,"Polymyxins, for human use, in dosage",1988-01,1996-11,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0169,IM_0089
IMR-3004200059-198801,"3004.20.00.59 - Polypeptide antibiotics, nes, for human use, in dosage (Terminated 2011-12)",3004.20.00.59,"Polypeptide antibiotics, not elsewhere specified, for human use, in dosage",1988-01,1997-12,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0170,IM_0089
IMR-3004200059-199801,"3004.20.00.59 - Polypeptides antibiotics, nes, for human use, in dosage (Terminated 2011-12)",3004.20.00.59,"Polypeptides antibiotics, not elsewhere specified, for human use, in dosage",1998-01,2011-12,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0171,IM_0089
IMR-3004200061-198802,"3004.20.00.61 - Chloramphenicol, for human use, in dosage (Terminated 2011-12)",3004.20.00.61,"Chloramphenicol, for human use, in dosage",1988-02,2011-10,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0172,IM_0089
IMR-3004200062-198803,"3004.20.00.62 - Mitomycin C, for human use, in dosage (Terminated 2011-12)",3004.20.00.62,"Mitomycin C, for human use, in dosage",1988-03,2011-10,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0173,IM_0089
IMR-3004200063-198801,"3004.20.00.63 - Vancomycin, for human use, in dosage (Terminated 2011-12)",3004.20.00.63,"Vancomycin, for human use, in dosage",1988-01,2011-12,IM-3004200063-198801,"3004.20.00.12 - Medicaments containing vancomycin, for human use, in doses/pack for retail sale",3004.20.00.12,"Medicaments containing vancomycin, for human use, in doses/pack for retail sale",active,IMR_0174,IM_0091
IMR-3004200064-198801,"3004.20.00.64 - Rifamycins, for human use, in dosage (Terminated 1991-12)",3004.20.00.64,"Rifamycins, for human use, in dosage",1988-01,1991-06,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0176,IM_0089
IMR-3004200064-199112,"3004.20.00.64 - Lincomycin, for human use, in dosage (Terminated 1991-12)",3004.20.00.64,"Lincomycin, for human use, in dosage",1991-12,1991-12,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0175,IM_0089
IMR-3004200065-198812,"3004.20.00.65 - Lincomycin, for human use, in dosage (Terminated 1991-12)",3004.20.00.65,"Lincomycin, for human use, in dosage",1988-12,1989-04,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0177,IM_0089
IMR-3004200066-198801,"3004.20.00.66 - Spectinomycin, for human use, in dosage (Terminated 1991-06)",3004.20.00.66,"Spectinomycin, for human use, in dosage",1988-01,1991-01,IM-3004200010-198801,"3004.20.00.19 - Medi,cont antibiotics,hum,therap/prophltc,doses/pack frs,o/t No 30.02/05/06,nes",3004.20.00.19,"Medicaments,containing antibiotics,human,therapeutic/prophylactic,doses/pack for retail sale,other than products of headings 30.02, 30.05, 30.06,not elsewhere specified",active,IMR_0178,IM_0089
