flow,v1_uid,v1_family_id,v1_hs_code,v1_first_period,v1_last_period,v1_description,v2_record_id,v2_family_id,v2_hs_code,v2_first_period,v2_last_period,matched_on,note
exports,EXR_0028,EX_0020,3002.90.90,201701,202112,"Human blood;animal blood therapeutic/prophylactic/diagnostic uses;toxins,micro-organism culture,similar,not elsewhere specified",EXR-30029090-201701,EX-30029010-198801,3002.90.90,201701,202112,code and first month,
exports,EXR_0029,EX_0021,3003.10.00,200204,202503,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,not for retail sale",EXR-30031000-200204,EX-30031000-198801,3003.10.00,200204,202605,code and first month,
exports,EXR_0030,EX_0021,3003.10.00,200001,200012,"Penicillins or streptomycins and their derivatives, formulated, in bulk",EXR-30031000-198801,EX-30031000-198801,3003.10.00,198801,200012,code and last month,
exports,EXR_0031,EX_0022,3003.20.00,200002,200112,"Antibiotics not elsewhere specified, formulated, in bulk",EXR-30032000-198801,EX-30032000-198801,3003.20.00,198801,200112,code and last month,
exports,EXR_0032,EX_0022,3003.20.00,200201,202602,"Medicaments,containing antibiotics,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30032000-200201,EX-30032000-198801,3003.20.00,200201,202606,code and first month,
exports,EXR_0033,EX_0023,3003.31.00,200203,202505,"Medicaments,containing insulin,mixed,not in doses/forms/pack/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30033100-200203,EX-30033100-200203,3003.31.00,200203,202505,code and first month,
exports,EXR_0034,EX_0024,3003.39.00,200001,200111,"Hormones not elsewhere specified, formulated, not cntg antibiotics, in bulk, other than contraceptives",EXR-30033900-198801,EX-30033900-198801,3003.39.00,198801,200111,code and last month,
exports,EXR_0035,EX_0024,3003.39.00,200201,202602,"Medicaments,containing hormone/prostaglandins/thromboxanes/leukotrienes/derivative/analogues,not elsewhere specified,not for retail sale",EXR-30033900-200201,EX-30033900-198801,3003.39.00,200201,202606,code and first month,
exports,EXR_0036,EX_0025,3003.40.00,200211,201611,"Alkaloids or their derivatives, formltd, not cntg antibiotics or hormones, in bulk",EXR-30034000-198804,EX-30034000-198804,3003.40.00,198804,201611,code and last month,
exports,EXR_0037,EX_0026,3003.41.00,202009,202009,"Medicaments,containing ephedrin/salts,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30034100-202009,EX-30034100-202009,3003.41.00,202009,202009,code and first month,
exports,EXR_0038,EX_0027,3003.42.00,201905,202409,"Medicaments,containing pseudoephedrine/sa,mixed,therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30034200-201905,EX-30034200-201905,3003.42.00,201905,202409,code and first month,
exports,EXR_0039,EX_0025,3003.49.00,201805,202602,"Medicaments,containing alkaloids/derivative thereof,not elsewhere specified,mixed,for therapeutic/prophylactic,not for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30034900-201805,EX-30034000-198804,3003.49.00,201805,202606,code and first month,
exports,EXR_0040,EX_0029,3003.60.00,202007,202308,"Medicaments,containing antimalarial active principles,mixed,not for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30036000-201812,EX-30036000-201812,3003.60.00,201812,202308,code and last month,
exports,EXR_0041,EX_0030,3003.90.00,200001,201612,"Medicaments not elsewhere specified, formulated, in bulk",EXR-30039000-198801,EX-30033100-198801,3003.90.00,198801,201612,code and last month,
exports,EXR_0042,EX_0030,3003.90.00,201701,202602,"Medicaments, not elsewhere specified,mixed,therapeutic/prophylactic uses,not for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30039000-201701,EX-30033100-198801,3003.90.00,201701,202606,code and first month,
exports,EXR_0043,EX_0031,3004.10.00,200201,202602,"Medicaments,containing penicillins/derivative with penicillanic acid structure, streptomycins/derivative,for retail sale",EXR-30041000-200201,EX-30041010-198801,3004.10.00,200201,202606,code and first month,
exports,EXR_0044,EX_0031,3004.10.00,200001,200112,"Penicillins or streptomycins and their derivatives, in dosage",EXR-30041000-198901,EX-30041010-198801,3004.10.00,198901,200112,code and last month,
exports,EXR_0045,EX_0032,3004.20.00,200001,200112,"Antibiotics not elsewhere specified, in dosage",EXR-30042000-198901,EX-30042010-198801,3004.20.00,198901,200112,code and last month,
exports,EXR_0046,EX_0032,3004.20.00,200201,202602,"Medicaments,containing antibiotics,for therapeutic/prophylactic,in doses/for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30042000-200201,EX-30042010-198801,3004.20.00,200201,202606,code and first month,
exports,EXR_0047,EX_0033,3004.31.00,200207,202602,"Medicaments,containing insulin,in doses/forms/pack for retail sale,other than products of headings 30.02, 30.05, 30.06",EXR-30043100-200207,EX-30043100-198803,3004.31.00,200207,202606,code and first month,
